"Mean.totalDensity","Median.totalDensity","lower95","upper95","year","area"
2071.08986833896,1839.78503428589,801.136401808001,4456.37168743513,1,"Total"
4109.22617953241,3879.62581098578,2083.80668544994,7418.3191407922,2,"Total"
6356.55242855602,6153.40080593634,3570.78984101109,10112.5124022311,3,"Total"
5191.61872469038,4999.27146287558,3359.53313139448,7706.73591846426,4,"Total"
5402.54867171181,5253.58958741801,3588.82098782425,8125.69970701936,5,"Total"
6844.25277137635,6111.20292865082,2781.22330905328,14858.5352392922,6,"Total"
7408.32507666408,6322.14167951208,2173.00075875256,18516.7128653601,7,"Total"
2941.82313642061,2680.37607219741,1130.06596983665,6483.83334750405,8,"Total"
16356.1965420469,14748.0457087055,6154.47239100443,35646.8186496088,9,"Total"
21825.0799088515,19958.6465034175,7995.35743614884,46374.7582946853,10,"Total"
12533.9303161802,11917.2078660716,6661.13061753408,20781.0969254529,11,"Total"
10045.7457218162,9546.39550328873,5631.90726724097,17637.7761311871,12,"Total"
41.7779435495767,28.5811241121327,6.76386277896866,152.805315490364,1,"1"
302.044943169888,230.628461394749,64.8040343541684,956.819622796986,2,"1"
272.731550166765,200.997514004692,46.7670029334929,908.749473125159,3,"1"
148.941835283527,134.330725793953,59.432485587382,320.317118046363,4,"1"
307.485091088282,282.241508583994,127.394506701995,633.112982348173,5,"1"
789.633311722425,687.844468833924,267.932920271725,1822.85550087961,6,"1"
601.093368241172,470.383035337424,113.52324426427,1749.98483608793,7,"1"
123.847557770826,101.282364372046,25.6006762050683,360.40537248691,8,"1"
808.093909206718,664.423723589012,198.866571455873,2226.36729359885,9,"1"
2400.35323155826,2000.50201701374,565.196396736766,6726.84216602131,10,"1"
1358.13826052206,1211.93813090664,408.424285551788,3239.18138640545,11,"1"
367.807216876057,316.930597923553,126.745690017441,879.743904241866,12,"1"
18.2547861861383,12.9248857688852,2.45634335948467,70.3312519064474,1,"2"
119.252075890104,89.1915087443565,22.5678223715079,395.79187362537,2,"2"
150.057473766818,105.050218773121,23.8287255850247,525.22329220197,3,"2"
153.846039617971,142.359023685753,61.6823037426408,311.083432228708,4,"2"
183.398997572843,168.749799342679,72.6784298194447,363.076111838165,5,"2"
562.311081281659,497.629510349596,182.896790953322,1297.54691656598,6,"2"
183.097114181857,143.632920490098,35.1349490376212,555.338103300071,7,"2"
157.326827631456,136.541818750044,43.909739529238,395.548559736285,8,"2"
858.651220898211,724.64037808051,239.800238794255,2238.07616431671,9,"2"
2233.49074693793,1938.59063045872,667.897304886801,5352.25308157214,10,"2"
1074.55189381041,972.01156532353,393.998361781621,2339.13023975427,11,"2"
424.942591434523,386.470717593775,159.201755169741,953.928166096323,12,"2"
14.6227345095649,8.38948874755883,1.20769129826069,62.8715455264601,1,"3"
121.776335272631,80.1170969870338,15.1704775495387,485.277117545755,2,"3"
151.892625242723,94.7548970428772,18.0206903235497,687.783157770281,3,"3"
156.409563635097,132.954743242406,48.2908736323893,395.193111896837,4,"3"
109.476045706593,98.0035932910284,41.0504059265005,242.221352142847,5,"3"
286.119415617981,241.185634094338,82.8393327040519,749.57572634799,6,"3"
66.7929896892383,52.9223721823256,13.1794369134321,203.408152300645,7,"3"
103.308912381508,88.9180905217385,26.3943191907141,263.676455601464,8,"3"
370.341064590259,309.037271866168,85.9869034230971,1005.61427815702,9,"3"
531.061126012918,439.416668380456,133.412469965978,1491.19688091423,10,"3"
408.737961395375,347.531851673359,112.677588185983,1067.02843546876,11,"3"
331.202535802674,283.374218358596,114.780570998129,814.796077152661,12,"3"
7.78778461708506,4.28974829427168,0.685402740279499,38.2432989686361,1,"4"
59.4257511125083,38.953966705527,8.06875708836992,231.448416855582,2,"4"
80.6826795000452,50.4499192188518,10.2369963866833,333.716853150846,3,"4"
98.8741229892979,85.9343322661796,32.6299797777985,242.837226790845,4,"4"
