"Mean.avgPresence","Median.avgPresence","lower95","upper95","year","area"
0.394587101845674,0.392901343236437,0.325573526087556,0.463406783167234,1,"Total"
0.576289564198199,0.575519863314194,0.505968579232708,0.647322751451339,2,"Total"
0.425995783307431,0.424364157565985,0.353614854324678,0.49878779132939,3,"Total"
0.502351145967624,0.502760415481472,0.453388862768179,0.552027775537984,4,"Total"
0.466398922710343,0.466610978955413,0.416714568691255,0.516717619949603,5,"Total"
0.49346846402465,0.492735568838578,0.444292753992452,0.54102010014242,6,"Total"
0.516524460475425,0.517061969401351,0.42580551842231,0.606382664447366,7,"Total"
0.546286927997861,0.548755959758809,0.459981659452398,0.626852189849417,8,"Total"
0.466478623245128,0.46594973110199,0.385427975989675,0.548174082012404,9,"Total"
0.51270363425104,0.512902685118216,0.438399191343052,0.591541366692333,10,"Total"
0.527865371797362,0.528713662879869,0.453637400540939,0.603646026727359,11,"Total"
0.501500003057664,0.501570063583364,0.452163475283595,0.552880417794147,12,"Total"
0.344674214473046,0.340881818732347,0.200914383308408,0.509247780798777,1,"1"
0.595728976248901,0.602170944870325,0.432301262115047,0.746619312195467,2,"1"
0.382617079564631,0.380938603286046,0.238498205022295,0.535020641521512,3,"1"
0.476268009309048,0.476020741581904,0.360045007084705,0.588923020392031,4,"1"
0.469904550766385,0.472351604053696,0.363397467588851,0.576998529210986,5,"1"
0.551518036186284,0.551067681487332,0.430980235921487,0.659723855185079,6,"1"
0.572707349571254,0.572690922170587,0.415406733977914,0.721239786136886,7,"1"
0.601060203098943,0.605959732561853,0.449457113962219,0.731981300296761,8,"1"
0.520489574055987,0.521336843241744,0.381941609363268,0.656058029610214,9,"1"
0.560934710200668,0.562486328643589,0.424706831123324,0.685756763195385,10,"1"
0.595918813549321,0.598297044619625,0.459733736920404,0.710588862880483,11,"1"
0.512567983051044,0.512309721067646,0.392329557609272,0.637524582279434,12,"1"
0.211696619285347,0.205318171519725,0.114985816093261,0.345183412546796,1,"2"
0.41248505197918,0.413664926749023,0.269086355778069,0.555638550792175,2,"2"
0.262397598531855,0.259749555950296,0.143622926401534,0.390323198760366,3,"2"
0.366967868092238,0.366018241644467,0.276082169831031,0.45688653149921,4,"2"
0.380373964984848,0.379463914828051,0.292969544987516,0.469284532303711,5,"2"
0.412760152005176,0.411271604975004,0.325721991279021,0.494841995330585,6,"2"
0.435514945103599,0.43477544699179,0.319475518051037,0.55780275018604,7,"2"
0.489372735083714,0.48805670788712,0.377227051240171,0.598337198913635,8,"2"
0.447236910160399,0.448339553242993,0.324757409690707,0.559059965844109,9,"2"
0.531711302015923,0.533052224027413,0.426157818908676,0.625006215972335,10,"2"
0.555812081413149,0.557242494598032,0.45091022436579,0.647784191025259,11,"2"
0.509050449838466,0.509719897613912,0.413895836914852,0.60225503256487,12,"2"
0.29964748828367,0.294758887651207,0.17882898371396,0.43149266155618,1,"3"
0.490740210194134,0.492946232107441,0.3366962861057,0.638778654198482,2,"3"
0.325760785749027,0.321701962812887,0.195862628096063,0.472737126505622,3,"3"
0.419190897354523,0.416689755620933,0.308813659677547,0.537238278701384,4,"3"
0.378423285082149,0.377254157257873,0.291738457481804,0.478925561716452,5,"3"
0.377723145239103,0.375429475047125,0.293254105943149,0.469943342602725,6,"3"
0.448354758660111,0.446820171853144,0.3309105192608,0.575516769922851,7,"3"
0.49245802901329,0.493502938408098,0.378416493496866,0.608111581684522,8,"3"
0.461763492978635,0.459957654459673,0.349599006825046,0.583380668956951,9,"3"
0.512319904412369,0.510192656744199,0.400576747655368,0.630477240061857,10,"3"
0.489653682835607,0.489484198023966,0.373344312015226,0.619514060181746,11,"3"
0.448106171773543,0.445100262883252,0.338004912714325,0.568750960785195,12,"3"
0.24333465403954,0.238875044260974,0.145574098090511,0.355971703955292,1,"4"
0.420641591797168,0.421843018232941,0.278818155657163,0.564020659066208,2,"4"
0.262774199499649,0.257173430399769,0.153356410469451,0.394654122536813,3,"4"
0.346226594831698,0.343885256700652,0.252061696042977,0.448154529742593,4,"4"
0.303887997971469,0.302639348702975,0.225172101537173,0.3967567907284,5,"4"
0.299432516410648,0.296976676812762,0.225171072271742,0.383015186782198,6,"4"
0.37141536065325,0.3690174333619,0.265954694513429,0.491219931522208,7,"4"
0.416416123039811,0.417661955261156,0.308002747567153,0.534986515642403,8,"4"
0.381222968377062,0.378846020236569,0.280805528273602,0.49240474153191,9,"4"
0.435673410065925,0.433362557023173,0.334234631959879,0.551307682705472,10,"4"
0.413512093333045,0.413832858822991,0.308452856021732,0.530196135550083,11,"4"
0.370734088724302,0.366318045318534,0.278184984911969,0.478012324211884,12,"4"
0.268162594387376,0.265611462117249,0.174872623509819,0.36676655124468,1,"5"
0.447137721316886,0.447403037633349,0.323504362413651,0.5633634074654,2,"5"
0.285392930178396,0.280541602827793,0.174677851618319,0.413703308503635,3,"5"
0.373236899744105,0.372843511863897,0.28951425863655,0.463943075438961,4,"5"
0.332330715181121,0.331512350794618,0.251928595328572,0.413601885364275,5,"5"
0.328812505801875,0.328205870759878,0.251544745081182,0.405449610493597,6,"5"
0.395976382315448,0.394470650716862,0.288534451725655,0.513616348015799,7,"5"
0.440023249908564,0.440513228656597,0.330527548996252,0.556342183006539,8,"5"
0.394500527006807,0.394319419017131,0.301265937879304,0.491506141704668,9,"5"
0.454503175900624,0.45081235704931,0.360385433033315,0.56278866109949,10,"5"
0.438658288624705,0.440180714621633,0.334168729060875,0.547212085178109,11,"5"
0.386969909093502,0.385826638113494,0.294346292575072,0.480811607166519,12,"5"
0.17848822432406,0.175965181303658,0.104328006628819,0.274197346121645,1,"6"
0.317845881003683,0.316594802292934,0.192055784602169,0.456486031274505,2,"6"
0.17587529260512,0.17101712130658,0.0954310151274585,0.288329349138369,3,"6"
0.246469781651832,0.243422714997543,0.173361287921887,0.336391965544095,4,"6"
0.216955692257959,0.21442467039295,0.145055943676634,0.305153244311598,5,"6"
0.215604187624975,0.211510948294018,0.1426244353976,0.306967499205661,6,"6"
0.257718034501176,0.25419159161962,0.163130242853795,0.383508453291206,7,"6"
0.280768530839546,0.276838537405771,0.182401456485428,0.403154568581923,8,"6"
0.212224491289257,0.20855398185221,0.144822293173426,0.303534948604588,9,"6"
0.266303686269364,0.262352764345029,0.18535555263117,0.38071121727069,10,"6"
0.285879946872341,0.283928669058273,0.194106355800192,0.398693595474129,11,"6"
0.259975706895237,0.257775473673691,0.18259545228027,0.350559254253766,12,"6"
0.288314160605116,0.283241249238798,0.184279921874553,0.412027301062492,1,"7"
0.413871675425486,0.413264434217041,0.282931822588274,0.54042828589874,2,"7"
0.265965208542871,0.262803846782079,0.159440547955625,0.390523539477932,3,"7"
0.344119930235688,0.341700999736222,0.241617883186263,0.459636219309765,4,"7"
0.320647895672425,0.319389153995663,0.219313675413448,0.426178892659765,5,"7"
0.295720344684713,0.293302566746605,0.207072461884671,0.396679678164774,6,"7"
0.319813363001454,0.318618380281728,0.202594731267451,0.448409874758968,7,"7"
0.315003714161259,0.311326654506868,0.203223063605525,0.443885252776159,8,"7"
0.236449743499184,0.233330858080604,0.149564427272522,0.334134062657857,9,"7"
0.28535621157648,0.280956429935245,0.188848506343463,0.407134483877936,10,"7"
