"Mean.avgPresence","Median.avgPresence","lower95","upper95","year","area"
0.10283852137398,0.0998339604472132,0.0581858353015216,0.159531403274523,1,"Total"
0.0666519645971695,0.0650857218644408,0.0330164943447757,0.10982699805052,2,"Total"
0.0569672375651002,0.0524592096926807,0.0190744051846292,0.119758754026519,3,"Total"
0.0449142826366941,0.0435214278441505,0.0269979923806482,0.0688975286967823,4,"Total"
0.0393072538234518,0.0381537995298831,0.0225770693440811,0.0645995002230398,5,"Total"
0.0643286356807875,0.062536399963518,0.0414996045354684,0.0977940181640826,6,"Total"
0.045127990181458,0.0419439206990327,0.0153163022171933,0.101530292120242,7,"Total"
0.0483810760668119,0.0443280407034715,0.017282169713949,0.105742997568729,8,"Total"
0.0466338697408245,0.0432454504291447,0.0189093092404168,0.094189747203192,9,"Total"
0.0238430989280473,0.0220957033980555,0.00820301162146115,0.0506033212770598,10,"Total"
0.0287587869813263,0.0267904187747906,0.00995888777056051,0.0602735799174427,11,"Total"
0.0387063307671866,0.0365691368536722,0.0223441186492884,0.0666494344398285,12,"Total"
0.0212667551477382,0.0159033360039054,0.00293864880881744,0.0784138202602853,1,"1"
0.0127075018021622,0.00888939115827251,0.00145376129651161,0.0473573886128112,2,"1"
0.0159412966555395,0.0107809895572178,0.00179701223756636,0.0639967673511995,3,"1"
0.0181892508838026,0.0141760299699318,0.00418099634331092,0.0584783647906997,4,"1"
0.0134700254196857,0.0107796584157198,0.00293896692818976,0.039527954609873,5,"1"
0.0200275509764496,0.0164583713131286,0.00433775985765231,0.0607311958408567,6,"1"
0.012540057703625,0.00913165481915885,0.00170815053351399,0.0389710045987588,7,"1"
0.0145152784128481,0.0106119708001272,0.00220858878648348,0.0494095654915032,8,"1"
0.0163360407057435,0.0120685235386092,0.00256974417021831,0.0536321148373456,9,"1"
0.00756945344377736,0.00513726682048666,0.000996916631369836,0.0284671673262791,10,"1"
0.00920242992825437,0.0065644771627496,0.00122564704477447,0.0317123741115144,11,"1"
0.00934086123504509,0.00639917438949222,0.00132274492201195,0.03463016764017,12,"1"
0.107966738748702,0.0968026229685521,0.034704222160219,0.241046936538487,1,"2"
0.0720129443137147,0.0621318735070697,0.0161860841601842,0.182637023309268,2,"2"
0.0810223585745848,0.0676546374731552,0.0163483968456627,0.222053606315278,3,"2"
0.0898749403439741,0.0836178107035076,0.0380441074217093,0.176170223494302,4,"2"
0.059030359528828,0.0545118600857375,0.022761661936589,0.122682646333873,5,"2"
0.0921209992983516,0.0863221718879794,0.0357460651028574,0.178799757883938,6,"2"
0.0639826411823045,0.0557912923557498,0.0145661024377713,0.161999947837527,7,"2"
0.0698188918362398,0.060499461347288,0.0188274141825842,0.199726211495342,8,"2"
0.0753115395945398,0.0657209457922971,0.0214004640613314,0.193065355980975,9,"2"
0.0304080199355846,0.0253281451077164,0.0070649792990497,0.081067233207235,10,"2"
0.0332352579213357,0.0278488186020622,0.00751598396753458,0.0901025993650968,11,"2"
0.0350856621553248,0.0307782418681585,0.009931054702289,0.0840469680862719,12,"2"
0.0790194105528744,0.0727401863752812,0.0225496192596956,0.173351232990202,1,"3"
0.0536456338083256,0.0470402752167505,0.0128017605364676,0.135471219334136,2,"3"
0.0558169897394562,0.047922256843728,0.0101341817037588,0.147901563733785,3,"3"
0.0587579856786832,0.0545135459034652,0.0234336022656826,0.111546103373381,4,"3"
0.0382996088993404,0.035134647352626,0.0151762299691377,0.0797786343961393,5,"3"
0.062725920227507,0.0617835201106359,0.0270761351744375,0.109620758689062,6,"3"
0.0460122183973111,0.0406294235108313,0.0112573762563187,0.113475187465967,7,"3"
0.0509407940931192,0.0443039760576062,0.013573872872304,0.134420260883551,8,"3"
0.0557777686723128,0.0510878638601823,0.0173586609015766,0.121360264101376,9,"3"
0.0231186226135404,0.0201327099392378,0.00561531804249334,0.0597488157427096,10,"3"
0.0240557799469035,0.021028735719317,0.00579360796462351,0.0571028973509711,11,"3"
0.025686835702525,0.022749377159704,0.00788198241970568,0.0590552045582797,12,"3"
0.089354822824454,0.081277038553874,0.0254808595080171,0.213529561362369,1,"4"
0.0552913001275097,0.0479432047297717,0.0147777689005894,0.138657348913608,2,"4"
0.0527225175603555,0.0437145426990343,0.0101793140675063,0.145716347122708,3,"4"
0.0493519932863477,0.0463999317886624,0.0210990836778037,0.0941873469698335,4,"4"
0.0329681223612118,0.0304891618542236,0.0131056243427005,0.0678467824363576,5,"4"
0.0578808515132852,0.0548067883292579,0.0239022151970493,0.107530899687168,6,"4"
0.0426468014446984,0.037235690222711,0.0100883516477889,0.1109378856795,7,"4"
0.0465383337477026,0.0403084351322738,0.012275541527112,0.127234352712085,8,"4"
0.0514870324565726,0.0454594850655197,0.016702411343369,0.115560045689146,9,"4"
0.0225328120392222,0.0198744444974041,0.0055489858841478,0.0601606475690071,10,"4"
0.0233770947250005,0.0204723672134218,0.00566887543153334,0.0565244932542164,11,"4"
0.0275579167079601,0.0245087928823374,0.00930698770696154,0.0652119052386696,12,"4"
0.142217750369047,0.134786682864401,0.0507461216569399,0.300686370750158,1,"5"
0.0844218533459029,0.0776695077235157,0.0275831047442697,0.178407915298339,2,"5"
0.0733235354340626,0.0624599745007832,0.0173892226816459,0.179407725197688,3,"5"
0.06140843345691,0.0582684154799074,0.0311450770457973,0.106267294211877,4,"5"
0.0445585376951728,0.041887374738118,0.0203115904078308,0.0829680993004285,5,"5"
0.0769924684767299,0.0744387739695932,0.037103001260441,0.128169600033144,6,"5"
0.057116875716423,0.051598241682842,0.0153613761390499,0.133843069743781,7,"5"
0.0600488268114334,0.0534265096882821,0.018274828020621,0.151692391018451,8,"5"
0.0652573583952807,0.0597100430050873,0.0244272408692511,0.133617295280155,9,"5"
0.0323564538492227,0.0297309420607504,0.0100371719104739,0.0711113281883005,10,"5"
0.0333643086833509,0.0309054420379377,0.00930493647389903,0.0732904568911742,11,"5"
0.0415153577752611,0.0390873752770477,0.0183590817114969,0.079884063638664,12,"5"
0.363430775504959,0.363263143303583,0.20101270125436,0.543361842502516,1,"6"
0.243712744164096,0.238397355473684,0.114588483144336,0.412482622878913,2,"6"
0.185827161795754,0.172645945708265,0.0558022836000704,0.391705933017342,3,"6"
0.125930678778756,0.119560623572236,0.0583343785807266,0.232132398866907,4,"6"
0.0998269875207316,0.0942499715972292,0.0411101182161356,0.197216023661694,5,"6"
0.146914812799533,0.142369617666467,0.0807057724504973,0.249263746436563,6,"6"
0.101709162638721,0.092000358740867,0.0276640426392863,0.233448539714238,7,"6"
0.0994761849994319,0.0875948098265681,0.0290446751913636,0.249537625765498,8,"6"
0.0976669210535688,0.0889847277043294,0.0321937760017056,0.210345135534872,9,"6"
0.0501304634121052,0.0445209567992156,0.0130412654577595,0.11639500924811,10,"6"
0.0602836749097938,0.0544211137537744,0.0173759640362054,0.137767319877001,11,"6"
0.0859364743228832,0.0806399467466583,0.037157859402263,0.164169317235364,12,"6"
0.171644811550598,0.165088300368707,0.0883865367004254,0.301985945531899,1,"7"
0.108286740273286,0.101308996787915,0.0451658894949634,0.205799092893584,2,"7"
0.0862835431222798,0.0759135618899271,0.0253716141366664,0.196897484582909,3,"7"
0.0595649532868301,0.0553489975065793,0.0242953685232814,0.122641798554007,4,"7"
0.0543814551412705,0.0515893617255833,0.0209474693920474,0.108019372022957,5,"7"
0.0900843900397715,0.0862146949534641,0.04243235323267,0.162183796065998,6,"7"
0.0533137809713278,0.0468143876592836,0.0126553865042653,0.128220198866399,7,"7"
0.0526440452183308,0.0466146040667427,0.0122749305429367,0.13111019574264,8,"7"
0.051130161713275,0.0441858777344264,0.01479252607624,0.12389016999005,9,"7"
0.0260833393717058,0.0226447651844935,0.00661621300202631,0.0679413016206965,10,"7"
0.0375039496030997,0.033141451266129,0.00882746608660565,0.0941004773415878,11,"7"
0.0507778367339716,0.0461747597194341,0.019772816755648,0.107932889853354,12,"7"
0.0645421068424735,0.0525269726583837,0.0116091918765798,0.188343936794644,1,"8"
0.0375380172815474,0.030371707423806,0.00768987442835934,0.112677605983254,2,"8"
0.0335693774521651,0.0248570917702857,0.00490533465231304,0.118849985578416,3,"8"
0.024548535823699,0.0198995906007534,0.00554858912206222,0.0686677360083572,4,"8"
0.027997563712514,0.023958814389819,0.0081697253433717,0.0737914562378572,5,"8"
0.0582846419827613,0.0516716067902074,0.0211127097510325,0.131445782996979,6,"8"
0.0378225712120425,0.0314292529876504,0.00821554092502312,0.10268944915302,7,"8"
0.0446236659290911,0.0367627875736922,0.00972930062045512,0.122603052806472,8,"8"
0.040078625036143,0.0331264533385459,0.00876711407805664,0.110664814480245,9,"8"
0.0200857782349342,0.016074143070861,0.00439683225684868,0.0561171613524253,10,"8"
0.0241352871676694,0.0190455480011517,0.00460052751605874,0.0712514575119765,11,"8"
0.0346190674605039,0.0282081986340155,0.00795815702541969,0.0975523398274136,12,"8"
0.067504514369567,0.0608342433859578,0.0161140230988302,0.156388649558116,1,"9"
0.0467784166929962,0.0424405472476934,0.0136712138233332,0.103021910420422,2,"9"
0.0460510632199818,0.0408306147551598,0.01125872201464,0.113367522930238,3,"9"
0.0406883006731454,0.0375147844023145,0.0141724247403409,0.0851489187972247,4,"9"
0.0516067353612306,0.0473830382465152,0.0198218893044491,0.101110369888704,5,"9"
0.0899765853371086,0.0865244771397156,0.043916049217757,0.14565484038765,6,"9"
0.0719496463245731,0.0651286718113446,0.0221480700230266,0.155338618893568,7,"9"
0.0835950645370284,0.0786172026133444,0.0293071077499574,0.164514836048098,8,"9"
0.0703893705022447,0.065626773444406,0.0217930675449122,0.145623788788731,9,"9"
0.0414280888818271,0.0377509003526292,0.0120596356814923,0.0951984935150586,10,"9"
0.041718367293755,0.0369420345561586,0.0114134141454716,0.0947974663715326,11,"9"
0.0518290028983164,0.0480582654667099,0.0144016287537688,0.118152491511551,12,"9"
0.00865193441865464,0.00299486404516538,7.29240148319129e-05,0.0499111636413267,1,"10"
0.00506903495158883,0.00176369563331372,4.96791231187442e-05,0.0306850102668969,2,"10"
0.00468356144736581,0.00139467437642918,3.34679534012471e-05,0.0309602440968747,3,"10"
0.00338353640456217,0.00112894667585279,3.1799371616674e-05,0.0207515636785565,4,"10"
0.00392317976308454,0.00140353088918539,3.97341571594702e-05,0.0234940404231858,5,"10"
0.0073341448327983,0.00268866254130914,9.6473442584114e-05,0.0425350793861496,6,"10"
0.00579103460060662,0.00174318597827252,5.99279575970023e-05,0.0351365443765712,7,"10"
0.00609818228722664,0.00196169629432878,5.43400702255151e-05,0.0377741867496619,8,"10"
0.00509521258908247,0.00169287369389223,3.69253407155438e-05,0.0280182188474835,9,"10"
0.002910453519885,0.000795518357204203,1.3055431015071e-05,0.0211425089154333,10,"10"
0.00381643939389788,0.00108194067572809,1.98728519627998e-05,0.0243895009767337,11,"10"
0.00596864810971154,0.00171167495132658,3.71396518493046e-05,0.038702138454055,12,"10"
0.0550175112659533,0.0427025747226404,0.00728346535814569,0.174907003670982,1,"11"
0.0381903510289813,0.0308123191239538,0.0068854409058736,0.107204454909267,2,"11"
0.0337716637967791,0.0271890518026301,0.00579978455961776,0.104924644911951,3,"11"
