YEAR,AREA,Sp_rich
1,1,8.548141174
1,1,8.47058046
1,1,8.628330628
1,1,8.566822249
1,1,8.820858939
1,1,8.398995315
1,1,8.365665272
1,1,8.472153687
1,1,8.87439046
1,1,8.593378735
1,1,8.625045657
1,1,8.419313338
1,1,8.222661192
1,1,8.384864011
1,1,8.570804092
1,1,8.418142477
1,1,8.782598447
1,1,8.767629255
1,1,8.422540009
1,1,8.484993719
1,1,8.471251369
1,1,8.489940167
1,1,8.62639858
1,1,8.616340784
1,1,8.610416943
1,1,8.552259077
1,1,8.60611017
1,1,8.30332803
1,1,8.404726669
1,1,8.734269157
1,1,8.508471504
1,1,8.892059302
1,1,8.712750944
1,1,8.607207176
1,1,8.651864203
1,1,8.380385005
1,1,8.52463609
1,1,8.555977882
1,1,8.453044802
1,1,8.190284977
1,1,8.578652174
1,1,8.309169163
1,1,8.224713331
1,1,8.528024334
1,1,8.253151937
1,1,8.014483078
1,1,8.508231477
1,1,8.830943222
1,1,8.127681651
1,1,8.53297212
1,1,8.475604757
1,1,8.510527353
1,1,8.319296152
1,1,8.665005209
1,1,8.349322385
1,1,8.365643281
1,1,8.472776945
1,1,8.600724811
1,1,8.396482924
1,1,8.485088144
1,1,8.589704383
1,1,8.676630796
1,1,8.543591953
1,1,8.658424059
1,1,8.598843479
1,1,8.415748099
1,1,8.23687963
1,1,8.522193963
1,1,8.329552678
1,1,8.753959975
1,1,8.508914828
1,1,8.712820585
1,1,8.48202311
1,1,8.548351089
1,1,8.422221536
1,1,8.739690592
1,1,8.386143404
1,1,8.367667674
1,1,8.621063737
1,1,8.629827127
1,1,8.699031441
1,1,8.376524523
1,1,8.145408571
1,1,8.318887712
1,1,8.788863871
1,1,8.467178221
1,1,8.553524202
1,1,8.434444518
1,1,8.380307695
1,1,8.642489679
1,1,8.474555706
1,1,8.530572161
1,1,8.585694993
1,1,8.499681426
1,1,8.646372448
1,1,8.541148555
1,1,8.320299806
1,1,8.497213606
1,1,8.42019649
1,1,8.77895992
1,1,8.964873341
1,1,8.792392565
1,1,8.511740656
1,1,8.366802537
1,1,8.708225368
1,1,8.36607245
1,1,8.514419133
1,1,8.558927913
1,1,8.514071628
1,1,8.379807013
