"time_UTC","latitude_degrees_north","longitude_degrees_east","chlorophyll_mg_m3","Year","Month","Day","area","optional"
"1997-09-16T00:00:00Z",60.291664,-146.04166,1.443793,1997,9,16,1,TRUE
"1997-09-16T00:00:00Z",60.208332,-146.54166,2.489761,1997,9,16,1,TRUE
"1997-09-16T00:00:00Z",60.208332,-146.45833,2.489761,1997,9,16,1,TRUE
"1997-09-16T00:00:00Z",60.208332,-146.37498,1.07224,1997,9,16,1,TRUE
"1997-09-16T00:00:00Z",60.208332,-146.29166,1.07224,1997,9,16,1,TRUE
"1997-09-16T00:00:00Z",60.208332,-146.20833,1.813769,1997,9,16,1,TRUE
"1997-09-16T00:00:00Z",60.208332,-146.12498,1.813769,1997,9,16,1,TRUE
"1997-09-16T00:00:00Z",60.208332,-146.04166,1.566135,1997,9,16,1,TRUE
"1997-09-16T00:00:00Z",60.208332,-145.95833,1.566135,1997,9,16,1,TRUE
"1997-09-16T00:00:00Z",60.208332,-145.87498,1.569596,1997,9,16,1,TRUE
"1997-09-16T00:00:00Z",60.208332,-145.79166,1.569596,1997,9,16,1,TRUE
"1997-09-16T00:00:00Z",60.208332,-145.70833,1.952166,1997,9,16,1,TRUE
"1997-09-16T00:00:00Z",60.208332,-145.62498,1.952166,1997,9,16,1,TRUE
"1997-09-16T00:00:00Z",60.208332,-145.54166,2.230128,1997,9,16,1,TRUE
"1997-09-16T00:00:00Z",60.208332,-145.45833,2.230128,1997,9,16,1,TRUE
"1997-09-16T00:00:00Z",60.124996,-146.87498,1.826695,1997,9,16,1,TRUE
"1997-09-16T00:00:00Z",60.124996,-146.79166,1.826695,1997,9,16,1,TRUE
"1997-09-16T00:00:00Z",60.124996,-146.70833,1.727853,1997,9,16,1,TRUE
"1997-09-16T00:00:00Z",60.124996,-146.62498,1.727853,1997,9,16,1,TRUE
"1997-09-16T00:00:00Z",60.124996,-146.54166,1.575271,1997,9,16,1,TRUE
"1997-09-16T00:00:00Z",60.124996,-146.45833,1.575271,1997,9,16,1,TRUE
"1997-09-16T00:00:00Z",60.124996,-146.37498,1.547934,1997,9,16,1,TRUE
