MASTER_ID,LONGITUDE,LATITUDE,LonUTMAlbers,LatUTMAlbers,WATER,SRTM_M,NGDC24_M,Area
111115,-145.72314,60.20491,236.3615264,6157.474112,1,-105,-108,1
110856,-146.30269,60.22148,204.2662746,6157.47306,1,-101,-105,1
111116,-145.68722,60.20268,238.3596005,6157.349213,1,-104,-104,1
110857,-146.26671,60.21941,206.2644361,6157.348793,1,-99,-103,1
110858,-146.23074,60.21733,208.2625897,6157.224486,1,-74,-97,1
111117,-145.6513,60.20044,240.3576663,6157.224273,1,-96,-96,1
110859,-146.19478,60.21524,210.2607354,6157.100139,1,-93,-99,1
111118,-145.61539,60.1982,242.3557238,6157.099294,1,-89,-89,1
110860,-146.15881,60.21313,212.2588731,6156.975753,1,-98,-99,1
111119,-145.57949,60.19594,244.3537729,6156.974275,1,-79,-85,1
110861,-146.12286,60.21102,214.2570028,6156.851327,1,-107,-110,1
111120,-145.54359,60.19367,246.3518137,6156.849216,1,-70,-77,1
110862,-146.0869,60.2089,216.2551246,6156.726861,1,-99,-103,1
111121,-145.50769,60.1914,248.3498461,6156.724118,1,-64,-65,1
110863,-146.05095,60.20677,218.2532383,6156.602356,1,-92,-105,1
111122,-145.4718,60.18911,250.34787,6156.598979,1,-57,-61,1
110864,-146.01501,60.20463,220.2513439,6156.477811,1,-100,-106,1
111123,-145.43592,60.18682,252.3458856,6156.473801,1,-56,-54,1
110865,-145.97907,60.20248,222.2494415,6156.353226,1,-109,-108,1
111124,-145.40004,60.18451,254.3438926,6156.348583,1,-61,-50,1
110604,-146.5587,60.21795,190.1542772,6156.347753,1,-63,-61,1
110866,-145.94314,60.20032,224.2475309,6156.228601,1,-110,-113,1
110605,-146.52271,60.21595,192.1524511,6156.223761,1,-136,-136,1
111125,-145.36416,60.1822,256.3418912,6156.223325,1,-79,-50,1
110867,-145.90721,60.19815,226.2456123,6156.103937,1,-111,-110,1
110606,-146.48673,60.21393,194.1506173,6156.099728,1,-134,-137,1
110868,-145.87128,60.19597,228.2436855,6155.979233,1,-114,-112,1
110607,-146.45075,60.21191,196.1487757,6155.975656,1,-128,-134,1
110869,-145.83536,60.19379,230.2417505,6155.85449,1,-115,-117,1
110608,-146.41477,60.20988,198.1469263,6155.851545,1,-122,-127,1
110870,-145.79945,60.19159,232.2398073,6155.729706,1,-113,-115,1
110609,-146.3788,60.20783,200.1450692,6155.727393,1,-119,-123,1
110871,-145.76354,60.18938,234.237856,6155.604883,1,-112,-115,1
110610,-146.34284,60.20578,202.1432042,6155.603203,1,-113,-116,1
110872,-145.72763,60.18716,236.2358963,6155.48002,1,-117,-119,1
110611,-146.30688,60.20372,204.1413313,6155.478972,1,-105,-110,1
110873,-145.69173,60.18494,238.2339285,6155.355117,1,-118,-114,1
110612,-146.27092,60.20165,206.1394506,6155.354702,1,-92,-109,1
110613,-146.23497,60.19957,208.137562,6155.230392,1,-79,-101,1
110874,-145.65584,60.1827,240.2319523,6155.230175,1,-118,-108,1
110614,-146.19902,60.19748,210.1356655,6155.106043,1,-92,-102,1
110875,-145.61995,60.18046,242.2299679,6155.105192,1,-110,-107,1
110615,-146.16308,60.19538,212.133761,6154.981653,1,-101,-99,1
110876,-145.58406,60.1782,244.2279751,6154.98017,1,-98,-98,1
110616,-146.12714,60.19327,214.1318486,6154.857225,1,-100,-99,1
110877,-145.54818,60.17594,246.225974,6154.855108,1,-83,-93,1
110617,-146.0912,60.19115,216.1299282,6154.732756,1,-90,-102,1
110878,-145.5123,60.17366,248.2239645,6154.730006,1,-78,-82,1
110618,-146.05528,60.18902,218.1279998,6154.608248,1,-88,-100,1
110879,-145.47643,60.17138,250.2219466,6154.604864,1,-69,-71,1
110619,-146.01935,60.18688,220.1260633,6154.4837,1,-91,-100,1
110880,-145.44057,60.16908,252.2199204,6154.479683,1,-63,-72,1
110620,-145.98343,60.18473,222.1241188,6154.359112,1,-104,-104,1
110881,-145.40471,60.16678,254.2178856,6154.354461,1,-73,-67,1
110621,-145.94752,60.18257,224.1221662,6154.234485,1,-105,-105,1
110354,-146.52678,60.19818,192.0277737,6154.229646,1,-147,-150,1
110882,-145.36885,60.16447,256.2158425,6154.2292,1,-72,-60,1
110622,-145.91161,60.1804,226.1202055,6154.109818,1,-105,-106,1
110355,-146.49081,60.19617,194.0258975,6154.105611,1,-141,-145,1
110883,-145.333,60.16214,258.2137908,6154.103899,1,-64,-61,1
110623,-145.8757,60.17823,228.1182367,6153.985111,1,-112,-108,1
110356,-146.45485,60.19414,196.0240137,6153.981536,1,-130,-136,1
110884,-145.29715,60.15981,260.2117307,6153.978558,1,-56,-54,1
110624,-145.8398,60.17604,230.1162597,6153.860364,1,-117,-109,1
110357,-146.4189,60.19211,198.0221221,6153.857422,1,-120,-126,1
110625,-145.8039,60.17384,232.1142746,6153.735577,1,-117,-111,1
110358,-146.38295,60.19007,200.0202227,6153.733268,1,-108,-118,1
110886,-145.22548,60.15512,264.2075848,6153.727755,1,-44,-50,1
110626,-145.76801,60.17164,234.1122812,6153.610751,1,-116,-116,1
110359,-146.347,60.18802,202.0183154,6153.609075,1,-103,-110,1
