database.name,taxon,species,genus,family,order,class,superclass,subphylum,phylum,kingdom,genus.species,common.name,fish.invert,pelagic.benthic,total.biomass.fish,All,diet,guild,Repro,repro.class,eggs,larvae,repro.notes
Albatrossia.pectoralis,Albatrossia pectoralis,pectoralis,Albatrossia,Macrouridae,Gadiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Albatrossia pectoralis,giant grenadier,fish,benthic,1,All,"I, C",A,oviparous,P,unknown,pelagic,
Anoplopoma.fimbria,Anoplopoma fimbria,fimbria,Anoplopoma,Anoplopomatidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Anoplopoma fimbria,sablefish,fish,benthic,1,All,G,A,oviparous,P,pelagic,pelagic,non-guarders
Atheresthes.stomias,Atheresthes stomias,stomias,Atheresthes,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Atheresthes stomias,arrowtooth flounder,fish,benthic,1,All,G,A,oviparous,P,pelagic,pelagic,non-guarders
Gadus.macrocephalus,Gadus macrocephalus,macrocephalus,Gadus,Gadidae,Gadiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Gadus macrocephalus,Pacific cod,fish,benthic,1,All,"I, B",A,oviparous,P,demersal,pelagic,
Hemitripterus.bolini,Hemitripterus bolini,bolini,Hemitripterus,Hemitripteridae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Hemitripterus bolini,bigmouth sculpin,fish,benthic,1,All,"F, B",A,oviparous,P,demersal,pelagic,
Hippoglossus.stenolepis,Hippoglossus stenolepis,stenolepis,Hippoglossus,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Hippoglossus stenolepis,Pacific halibut,fish,benthic,1,All,G,A,oviparous,P,pelagic,pelagic,non-guarders
Oncorhynchus.tshawytscha,Oncorhynchus tshawytscha,tshawytscha,Oncorhynchus,Salmonidae,Salmoniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Oncorhynchus tshawytscha,Chinook salmon,fish,pelagic,1,All,F,A,oviparous,P,fresh,fresh,
Ophiodon.elongatus,Ophiodon elongatus,elongatus,Ophiodon,Hexagrammidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Ophiodon elongatus,lingcod,fish,benthic,1,All,"F, C",A,oviparous,P,demersal ,pelagic,guarders
Bathyraja.aleutica,Bathyraja aleutica,aleutica,Bathyraja,Arhynchobatidae,Rajiformes,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia,Bathyraja aleutica,Aleutian skate,fish,benthic,1,All,"I, B",B,oviparous-egg case,E,demersal,demersal,
Bathyraja.interrupta,Bathyraja interrupta,interrupta,Bathyraja,Arhynchobatidae,Rajiformes,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia,Bathyraja interrupta,sandpaper skate,fish,benthic,1,All,"I, B",B,oviparous-egg case,E,demersal,demersal,
Dasycottus.setiger,Dasycottus setiger,setiger,Dasycottus,Psychrolutidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Dasycottus setiger,spinyhead sculpin,fish,pelagic,1,All,"I, B",B,oviparous,P,demersal,pelagic,
Glyptocephalus.zachirus,Glyptocephalus zachirus,zachirus,Glyptocephalus,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Glyptocephalus zachirus,rex sole,fish,benthic,1,All,"I, B",B,oviparous,P,pelagic,pelagic,
Hemilepidotus.jordani,Hemilepidotus jordani,jordani,Hemilepidotus,Cottidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Hemilepidotus jordani,yellow Irish lord,fish,benthic,1,All,"I, B",B,oviparous,P,demersal,pelagic,
Hexagrammos.decagrammus,Hexagrammos decagrammus,decagrammus,Hexagrammos,Hexagrammidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Hexagrammos decagrammus,kelp greenling,fish,benthic,1,All,"I, B",B,oviparous,P,demersal,pelagic,guarders
Hippoglossoides.elassodon,Hippoglossoides elassodon,elassodon,Hippoglossoides,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Hippoglossoides elassodon,flathead sole,fish,benthic,1,All,"I, B",B,oviparous,P,pelagic,pelagic,non-guarders
Hydrolagus.colliei,Hydrolagus colliei,colliei,Hydrolagus,Chimaeridae,Chimaeriformes,Holocephali,Pisces,Vertebrata,Chordata,Animalia,Hydrolagus colliei,spotted ratfish,fish,benthic,1,All,"I, B",B,oviparous-egg case,E,demersal,demersal,non-guarders
Isopsetta.isolepis,Isopsetta isolepis,isolepis,Isopsetta,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Isopsetta isolepis,butter sole,fish,benthic,1,All,"I, B",B,oviparous,P,pelagic,pelagic,non-guarders
Lepidopsetta.sp.,Lepidopsetta sp,NA,Lepidopsetta,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Lepidopsetta spp.,rock soles,fish,benthic,1,All,"I, B",B,oviparous,P,pelagic,pelagic,non-guarders
Limanda.aspera,Limanda aspera,aspera,Limanda,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Limanda aspera,yellowfin sole,fish,benthic,1,All,"I, B",B,oviparous,P,pelagic,pelagic,non-guarders
Lycodes.brevipes,Lycodes brevipes,brevipes,Lycodes,Zoarcidae,Perciformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Lycodes brevipes,shortfin eelpout,fish,benthic,1,All,"I, B",B,oviparous,P,unknown,unknown,some care
Lycodes.palearis,Lycodes palearis,palearis,Lycodes,Zoarcidae,Perciformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Lycodes palearis,wattled eelpout,fish,benthic,1,All,"I, B",B,oviparous,P,unknown,unknown,some care
Lyopsetta.exilis,Lyopsetta exilis,exilis,Lyopsetta,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Lyopsetta exilis,slender sole,fish,benthic,1,All,"I, B",B,oviparous,P,pelagic,pelagic,non-guarders
Malacocottus.zonurus,Malacocottus zonurus,zonurus,Malacocottus,Psychrolutidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Malacocottus zonurus,darkfin sculpin,fish,benthic,1,All,"I, B",B,unknown,U,unknown,pelagic,some care
Microstomus.pacificus,Microstomus pacificus,pacificus,Microstomus,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Microstomus pacificus,Dover sole,fish,benthic,1,All,"I, B",B,oviparous,P,pelagic,pelagic,non-guarders
Myoxocephalus.polyacanthocephalus,Myoxocephalus polyacanthocephalus,polyacanthocephalus,Myoxocephalus,Cottidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Vertebrata,Chordata,Animalia,Myoxocephalus polyacanthocephalus,great sculpin,fish,benthic,1,All,"I, B",B,oviparous,P,demersal ,pelagic,
Parophrys.vetulus,Parophrys vetulus,vetulus,Parophrys,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Parophrys vetulus,English sole,fish,benthic,1,All,"I, B",B,oviparous,P,pelagic,pelagic,non-guarders
Platichthys.stellatus,Platichthys stellatus,stellatus,Platichthys,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Platichthys stellatus,starry flounder,fish,benthic,1,All,"I, B",B,oviparous,P,pelagic,pelagic,non-guarders
Pleuronectes.quadrituberculatus,Pleuronectes quadrituberculatus,quadrituberculatus,Pleuronectes,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Pleuronectes quadrituberculatus,Alaska plaice,fish,benthic,1,All,"I, B",B,oviparous,P,pelagic,pelagic,non-guarders
Podothecus.accipenserinus,Podothecus accipenserinus,accipenserinus,Podothecus,Agonidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Podothecus accipenserinus,Sturgeon Poacher,fish,benthic,1,All,"I, B",B,oviparous,P,demersal ,pelagic,
