genus.species,common.name,trait,estimate,gender,region,reference,database,lengthType,comments
Albatrossia pectoralis,giant grenadier,Linfinity,121.5,f,GoA,,fishbase,TL,
Albatrossia pectoralis,giant grenadier,Linfinity,126.9,f,Kamchatka,,fishbase,TL,
Albatrossia pectoralis,giant grenadier,Linfinity,128.7,f,E Bering,,fishbase,TL,
Albatrossia pectoralis,giant grenadier,Linfinity,137.39999,f,Kamchatka,,fishbase,TL,
Albatrossia pectoralis,giant grenadier,K,0.015,f,E North Pacific,Burton 1999,REEM,,
Albatrossia pectoralis,giant grenadier,K,0.156,f,North Pacific,Pautov 1975,REEM,,
Albatrossia pectoralis,giant grenadier,K,0.161,both,North Pacific,Kulikova 1957,REEM,,
Albatrossia pectoralis,giant grenadier,K,0.15,f,Kuril Islands,,fishbase,,
Albatrossia pectoralis,giant grenadier,K,0.16,f,GoA,,fishbase,,
Albatrossia pectoralis,giant grenadier,K,0.12,f,Kamchatka,,fishbase,,
Albatrossia pectoralis,giant grenadier,K,0.13,f,E Bering,,fishbase,,
Albatrossia pectoralis,giant grenadier,K,0.12,f,Kamchatka,,fishbase,,
Anoplopoma fimbria,sablefish,diet,G,both,GoA,,REEM Groundfish Diet Database,,
Anoplopoma fimbria,sablefish,guild,A,both,GoA,,REEM Groundfish Diet Database,,
Anoplopoma fimbria,sablefish,trophicPosition,4.1,both,GoA,Aydin et al. 2007,,,
Anoplopoma fimbria,sablefish,firstMaturityLength,58-62,f,British Columbia,,fishbase,,
Anoplopoma fimbria,sablefish,firstMaturityLength,60-64,u,W Bering,,fishbase,,
Anoplopoma fimbria,sablefish,firstMaturityLength,52.7,m,Pacific Coast,,fishbase,FL,
Anoplopoma fimbria,sablefish,firstMaturityLength,56,f,Pacific Coast,,fishbase,FL,
Anoplopoma fimbria,sablefish,firstMaturityLength,58,u,British Columbia,,fishbase,TL,
Anoplopoma fimbria,sablefish,firstMaturityLength,60.2,u,West Coast,,fishbase,TL,
Anoplopoma fimbria,sablefish,firstMaturityLength,65,f,Bering Sea & Aleutian Islands,,fishbase,NG,
Anoplopoma fimbria,sablefish,firstMaturityAge,5.0-6.0,u,W Bering,,fishbase,,
Anoplopoma fimbria,sablefish,length50percentMaturity,65,f,GoA,Sigler et al. 2002,REEM,,
Anoplopoma fimbria,sablefish,age50percentMaturity,6.0-6.5,f,GoA,Sigler et al. 2002,REEM,,
Anoplopoma fimbria,sablefish,lengthMaximum,120,both,,,fishbase,TL,
Anoplopoma fimbria,sablefish,lengthMaximum,134,f,GoA,AFSC trawl survey,REEM,,
Anoplopoma fimbria,sablefish,lengthMaximum,138,m,GoA,AFSC trawl survey,REEM,,
Anoplopoma fimbria,sablefish,ageMaximum,94,both,,,fishbase,,
Anoplopoma fimbria,sablefish,ageMaximum,94,u,E Bering,AFSC trawl survey,REEM,,
Anoplopoma fimbria,sablefish,ageMaximum,73,f,GoA,AFSC trawl survey,REEM,,
Anoplopoma fimbria,sablefish,adultWaterColumnPosition,bathydemersal,both,,,fishbase,,
Anoplopoma fimbria,sablefish,adultSlopeShelf,"slope, shelf gullies, deep fjords",both,GoA,,2015 Stock Assessment,,
Anoplopoma fimbria,sablefish,adultSubstrate,mud,both,,,fishbase,,
Anoplopoma fimbria,sablefish,migratoryStatus,oceanadromous,both,,,fishbase,,
Anoplopoma fimbria,sablefish,depthRange,200-1000,both,GoA,"Britt & Martin 2001, in REEM life history website",REEM,,
Anoplopoma fimbria,sablefish,depthMax,1000,both,GoA,"Britt & Martin 2001, in REEM life history website",REEM,,
Anoplopoma fimbria,sablefish,Linfinity,54.7,m,West coast,,REEM,TL,
Anoplopoma fimbria,sablefish,Linfinity,56,m,Vancouver I. (west coast),,REEM,TL,
Anoplopoma fimbria,sablefish,Linfinity,56.6,m,West coast,,REEM,TL,
Anoplopoma fimbria,sablefish,Linfinity,61,f,West coast,,REEM,TL,
Anoplopoma fimbria,sablefish,Linfinity,61.4,f,West coast,,REEM,TL,
Anoplopoma fimbria,sablefish,Linfinity,64.6,m,Queen Charlotte Sound (east coast inlets),,REEM,TL,
Anoplopoma fimbria,sablefish,Linfinity,65.3,m,Aleutian Islands,,REEM,FL,
Anoplopoma fimbria,sablefish,Linfinity,65.5,m,Queen Charlotte Is. (west coast),,REEM,TL,
Anoplopoma fimbria,sablefish,Linfinity,65.7,m,Vancouver I. (west coast),,REEM,TL,
Anoplopoma fimbria,sablefish,Linfinity,67.8,m,Aleutian Islands,,REEM,FL,
Anoplopoma fimbria,sablefish,Linfinity,69.5,f,Vancouver I. (west coast),,REEM,TL,
Anoplopoma fimbria,sablefish,Linfinity,70.2,m,GoA,,REEM,TL,
Anoplopoma fimbria,sablefish,Linfinity,70.7,m,GoA,,REEM,TL,
Anoplopoma fimbria,sablefish,Linfinity,74,u,West coast,,REEM,TL,
Anoplopoma fimbria,sablefish,Linfinity,75.6,f,Aleutian Islands,,REEM,FL,
Anoplopoma fimbria,sablefish,Linfinity,78,m,Oregon,,REEM,TL,
Anoplopoma fimbria,sablefish,Linfinity,79.3,m,Bering Sea,,REEM,FL,
Anoplopoma fimbria,sablefish,Linfinity,80.2,f,Aleutian Islands,,REEM,FL,
Anoplopoma fimbria,sablefish,Linfinity,80.8,f,Queen Charlotte Is. (west coast),,REEM,TL,
Anoplopoma fimbria,sablefish,Linfinity,81.6,f,Queen Charlotte Sound (east coast inlets),,REEM,TL,
Anoplopoma fimbria,sablefish,Linfinity,81.7,f,Vancouver I. (west coast),,REEM,TL,
Anoplopoma fimbria,sablefish,Linfinity,83.5,u,West coast of USA and Canada,,REEM,FL,
Anoplopoma fimbria,sablefish,Linfinity,84.7,f,GoA,,REEM,TL,
Anoplopoma fimbria,sablefish,Linfinity,84.9,u,Bering Sea,,REEM,FL,
Anoplopoma fimbria,sablefish,Linfinity,86.7,f,GoA,,REEM,TL,
Anoplopoma fimbria,sablefish,Linfinity,94,u,Northeast Pacific,,REEM,TL,
Anoplopoma fimbria,sablefish,Linfinity,96,f,Oregon,,REEM,TL,
Anoplopoma fimbria,sablefish,Linfinity,102.8,u,Bering Sea,,REEM,TL,
Anoplopoma fimbria,sablefish,Linfinity,109.7,f,Bering Sea,,REEM,FL,
Anoplopoma fimbria,sablefish,K,0.47,m,West coast,,REEM,,
Anoplopoma fimbria,sablefish,K,0.43,m,Vancouver I. (west coast),,REEM,,
Anoplopoma fimbria,sablefish,K,0.56,m,West coast,,REEM,,
Anoplopoma fimbria,sablefish,K,0.5,f,West coast,,REEM,,
Anoplopoma fimbria,sablefish,K,0.48,f,West coast,,REEM,,
Anoplopoma fimbria,sablefish,K,0.26,m,Queen Charlotte Sound (east coast inlets),,REEM,,
Anoplopoma fimbria,sablefish,K,0.23,m,Aleutian Islands,,REEM,,
Anoplopoma fimbria,sablefish,K,0.47,m,Queen Charlotte Is. (west coast),,REEM,,
Anoplopoma fimbria,sablefish,K,0.29,m,Vancouver I. (west coast),,REEM,,
Anoplopoma fimbria,sablefish,K,0.29,m,Aleutian Islands,,REEM,,
Anoplopoma fimbria,sablefish,K,0.19,f,Vancouver I. (west coast),,REEM,,
Anoplopoma fimbria,sablefish,K,0.12,m,GoA,,REEM,,
Anoplopoma fimbria,sablefish,K,0.13,m,GoA,,REEM,,
Anoplopoma fimbria,sablefish,K,0.27,u,West coast,,REEM,,
Anoplopoma fimbria,sablefish,K,0.21,f,Aleutian Islands,,REEM,,
Anoplopoma fimbria,sablefish,K,0.23,m,Oregon,,REEM,,
Anoplopoma fimbria,sablefish,K,0.2,m,Bering Sea,,REEM,,
Anoplopoma fimbria,sablefish,K,0.22,f,Aleutian Islands,,REEM,,
Anoplopoma fimbria,sablefish,K,0.16,f,Queen Charlotte Is. (west coast),,REEM,,
Anoplopoma fimbria,sablefish,K,0.16,f,Queen Charlotte Sound (east coast inlets),,REEM,,
Anoplopoma fimbria,sablefish,K,0.14,f,Vancouver I. (west coast),,REEM,,
Anoplopoma fimbria,sablefish,K,0.16,u,West coast of USA and Canada,,REEM,,
Anoplopoma fimbria,sablefish,K,0.12,f,GoA,,REEM,,
Anoplopoma fimbria,sablefish,K,0.16,u,Bering Sea,,REEM,,
Anoplopoma fimbria,sablefish,K,0.11,f,GoA,,REEM,,
Anoplopoma fimbria,sablefish,K,0.19,u,Northeast Pacific,,REEM,,
Anoplopoma fimbria,sablefish,K,0.19,f,Oregon,,REEM,,
Anoplopoma fimbria,sablefish,K,0.13,u,Bering Sea,,REEM,,
Anoplopoma fimbria,sablefish,K,0.11,f,Bering Sea,,REEM,,
Atheresthes stomias,arrowtooth flounder,diet,G,both,GoA,,REEM Groundfish Diet Database,,
Atheresthes stomias,arrowtooth flounder,guild,A,both,GoA,,REEM Groundfish Diet Database,,
Atheresthes stomias,arrowtooth flounder,trophicPosition,4.3,both,GoA,Aydin et al. 2007,,,
Atheresthes stomias,arrowtooth flounder,firstMaturityLength,34,m,W Bering,,REEM,,
Atheresthes stomias,arrowtooth flounder,firstMaturityLength,39,f,W Bering,,REEM,,
Atheresthes stomias,arrowtooth flounder,firstMaturityLength,28,m,Washington,,REEM,TL,
Atheresthes stomias,arrowtooth flounder,firstMaturityLength,36.8,f,Washington,,REEM,TL,
Atheresthes stomias,arrowtooth flounder,firstMaturityAge,5.0-6.0,m,W Bering,,REEM,,
Atheresthes stomias,arrowtooth flounder,firstMaturityAge,6.0-7.0,f,W Bering,,REEM,,
Atheresthes stomias,arrowtooth flounder,lengthMaximum,84,both,,,fishbase,TL,
Atheresthes stomias,arrowtooth flounder,lengthMaximum,120,u,E Bering,AFSC trawl survey,REEM,,
Atheresthes stomias,arrowtooth flounder,lengthMaximum,91,m,GoA,AFSC trawl survey,REEM,,
Atheresthes stomias,arrowtooth flounder,ageMaximum,23,both,,,fishbase,,
Atheresthes stomias,arrowtooth flounder,ageMaximum,25,u,E Bering,AFSC trawl survey,REEM,,
Atheresthes stomias,arrowtooth flounder,ageMaximum,23,u,GoA,Turnock et al. 1999,REEM,,
Atheresthes stomias,arrowtooth flounder,Linfinity,81.9,f,GoA,,2015 Stock Assessment,,
Atheresthes stomias,arrowtooth flounder,Linfinity,49.7,m,GoA,,2015 Stock Assessment,,
Atheresthes stomias,arrowtooth flounder,Linfinity,57.93,m,E Bering,Zimmermann and Goddard 1996 (AFSC slope survey),REEM,,
Atheresthes stomias,arrowtooth flounder,Linfinity,85,f,E Bering,Zimmermann and Goddard 1996 (AFSC slope survey),REEM,,
Atheresthes stomias,arrowtooth flounder,K,0.102,f,GoA,,2015 Stock Assessment,,
Atheresthes stomias,arrowtooth flounder,K,0.236,m,GoA,,2015 Stock Assessment,,
Atheresthes stomias,arrowtooth flounder,adultWaterColumnPosition,demersal,both,,,fishbase,,
Atheresthes stomias,arrowtooth flounder,migratoryStatus,n,both,,,fishbase,,
Atheresthes stomias,arrowtooth flounder,adultSubstrate,soft,both,,,fishbase,,
Atheresthes stomias,arrowtooth flounder,depthRange,20-800,both,GoA,2015 Stock Assessment,2015 Stock Assessment,,
Atheresthes stomias,arrowtooth flounder,depthMax,800,both,GoA,2015 Stock Assessment,2015 Stock Assessment,,
Atheresthes stomias,arrowtooth flounder,depthRange,0-400,both,GoA,Allen & Smith 1988,REEM,,
Atheresthes stomias,arrowtooth flounder,depthMax,400,both,GoA,Allen & Smith 1988,REEM,,
Atheresthes stomias,arrowtooth flounder,age50percentMaturity,9.0-10.0,f,E Bering,Mito et al. 1999,REEM,,
Atheresthes stomias,arrowtooth flounder,age50percentMaturity,6.0-7.0,m,E Bering,Mito et al. 1999,REEM,,
Atheresthes stomias,arrowtooth flounder,length50percentMaturity,47,f,GoA,Zimmermann 1997,REEM,,
Atheresthes stomias,arrowtooth flounder,length50percentMaturity,42,m,GoA,Zimmermann 1997,REEM,,
Bathymaster signatus,searcher,diet,"I, C",both,GoA,,REEM Groundfish Diet Database,,
Bathymaster signatus,searcher,guild,P,both,GoA,,REEM Groundfish Diet Database,,
Bathymaster signatus,searcher,trophicPosition,3.5,both,GoA,Aydin et al. 2007,,,
Bathymaster signatus,searcher,lengthMaximum,38,both,,,fishbase,TL,
Bathymaster signatus,searcher,lengthMaximum,43,f,GoA,AFSC trawl survey,REEM,,
Bathymaster signatus,searcher,ageMaximum,9,both,,,fishbase,,
Bathymaster signatus,searcher,ageMaximum,9,f,Kamchatka,Tokranov 1998b,REEM,,
Bathymaster signatus,searcher,adultWaterColumnPosition,demersal,both,,,fishbase,,
Bathymaster signatus,searcher,adultSubstrate,soft,both,,,fishbase,,
Bathymaster signatus,searcher,temperatureLower,1,both,,,fishbase,,
Bathymaster signatus,searcher,temperatureUpper,2,both,,,fishbase,,
Bathymaster signatus,searcher,depthRange,50-250,both,N Pacific,Allen & Smith 1988,REEM,,
Bathymaster signatus,searcher,depthMax,250,both,N Pacific,Allen & Smith 1988,REEM,,
Bathyraja aleutica,Aleutian skate,diet,"I,B",both,GoA,,REEM Groundfish Diet Database,,
Bathyraja aleutica,Aleutian skate,guild,B,both,GoA,,REEM Groundfish Diet Database,,
Bathyraja aleutica,Aleutian skate,trophicPosition,4.3,both,GoA,Aydin et al. 2007,,,
Bathyraja aleutica,Aleutian skate,firstMaturityLength,112-132,f,"NW Pacific, Russia",,fishbase,,
Bathyraja aleutica,Aleutian skate,firstMaturityLength,108-116,m,"NW Pacific, Russia",,fishbase,,
Bathyraja aleutica,Aleutian skate,firstMaturityAge,9.0-10.0,f,"NW Pacific, Russia",,fishbase,,
Bathyraja aleutica,Aleutian skate,firstMaturityAge,8.0-9.0,m,"NW Pacific, Russia",,fishbase,,
Bathyraja aleutica,Aleutian skate,lengthMaximum,161,both,,,fishbase,TL,
Bathyraja aleutica,Aleutian skate,lengthMaximum,154,both,GoA,Ebert 2005,2015 Stock Assessment,TL,
Bathyraja aleutica,Aleutian skate,lengthMaximum,154,f,GoA,AFSC trawl survey,REEM,,
Bathyraja aleutica,Aleutian skate,lengthMaximum,177,m,E Bering,AFSC trawl survey,REEM,,
Bathyraja aleutica,Aleutian skate,ageMaximum,14,both,,Gburski unpubl data,2015 Stock Assessment,,
Bathyraja aleutica,Aleutian skate,ageMaximum,14,f,GoA,AFSC trawl survey,REEM,,
Bathyraja aleutica,Aleutian skate,adultWaterColumnPosition,bathydemersal,both,,,fishbase,,
Bathyraja aleutica,Aleutian skate,depthRange,200-1000,both,,2015 Stock Assessment,2015 Stock Assessment,,
Bathyraja aleutica,Aleutian skate,depthMax,1000,both,,2015 Stock Assessment,2015 Stock Assessment,,
Bathyraja aleutica,Aleutian skate,length50percentMaturity,121,m,E Bering,Ebert 2005,REEM,,
Bathyraja aleutica,Aleutian skate,length50percentMaturity,133,f,E Bering,Ebert 2005,REEM,,
Bathyraja interrupta,sandpaper skate,diet,"I,B",both,GoA,,REEM Groundfish Diet Database,,
Bathyraja interrupta,sandpaper skate,guild,B,both,GoA,,REEM Groundfish Diet Database,,
Bathyraja interrupta,sandpaper skate,trophicPosition,3.5,both,GoA,Aydin et al. 2007,,,
Bathyraja interrupta,sandpaper skate,lengthMaximum,86,both,,,fishbase,TL,
Bathyraja interrupta,sandpaper skate,lengthMaximum,83,both,GoA,Ebert 2005,2015 Stock Assessment,TL,
Bathyraja interrupta,sandpaper skate,ageMaximum,19,both,GoA,Gburski unpubl data,2015 Stock Assessment,,
Bathyraja interrupta,sandpaper skate,ageMaximum,19,m,GoA,AFSC trawl survey,REEM,,
Bathyraja interrupta,sandpaper skate,adultWaterColumnPosition,bathydemersal,both,,,fishbase,,
Bathyraja interrupta,sandpaper skate,adultSlopeShelf,outer shelf,both,,,fishbase,,
Bathyraja interrupta,sandpaper skate,adultSubstrate,"mud, sand",both,,,fishbase,,
Bathyraja interrupta,sandpaper skate,depthRange,200-1000,both,GoA,2015 Stock Assessment,2015 Stock Assessment,,
Bathyraja interrupta,sandpaper skate,depthMax,1000,both,GoA,2015 Stock Assessment,2015 Stock Assessment,,
Bathyraja interrupta,sandpaper skate,depthRange,50-450,both,GoA,Allen & Smiteh 1988,REEM,,
Bathyraja interrupta,sandpaper skate,depthMax,450,both,GoA,Allen & Smiteh 1988,REEM,,
Bathyraja interrupta,sandpaper skate,lengthMaximum,142,f,GoA,AFSC trawl survey,REEM,,
Bathyraja interrupta,sandpaper skate,lengthMaximum,153,f,Aleutian Islands,AFSC trawl survey,REEM,,
Bathyraja interrupta,sandpaper skate,length50percentMaturity,69.4,m,E Bering,Ebert 2005,REEM,,
Bathyraja interrupta,sandpaper skate,length50percentMaturity,70,f,E Bering,Ebert 2005,REEM,,
Bathyraja interrupta,sandpaper skate,Linfinity,53.7,f,California,,fishbase,TL,
Bathyraja interrupta,sandpaper skate,Linfinity,58,m,California,,fishbase,TL,
Bathyraja interrupta,sandpaper skate,Linfinity,82.8,u,E Bering,,fishbase,TL,
Bathyraja interrupta,sandpaper skate,Linfinity,86.9,u,GoA,,fishbase,TL,
Bathyraja interrupta,sandpaper skate,K,0.24,f,California,,fishbase,,
Bathyraja interrupta,sandpaper skate,K,0.19,m,California,,fishbase,,
Bathyraja interrupta,sandpaper skate,K,0.23,u,E Bering,,fishbase,,
Bathyraja interrupta,sandpaper skate,K,0.2,u,GoA,,fishbase,,
Berryteuthis magister,magister armhook squid,diet,"G, C",both,GoA,,REEM Groundfish Diet Database,,
Berryteuthis magister,magister armhook squid,guild,P,both,GoA,,REEM Groundfish Diet Database,,
Berryteuthis magister,magister armhook squid,trophicPosition,3.7,both,GoA,Aydin et al. 2007,,,
Berryteuthis magister,magister armhook squid,adultWaterColumnPosition,benthic,both,,,,,
Chionoecetes bairdi,Tanner crab,diet,"I, B",both,GoA,,REEM Groundfish Diet Database,,
Chionoecetes bairdi,Tanner crab,guild,E,both,GoA,,REEM Groundfish Diet Database,,
Chionoecetes bairdi,Tanner crab,trophicPosition,3.4,both,GoA,Aydin et al. 2007,,,
Chionoecetes bairdi,Tanner crab,adultWaterColumnPosition,benthic,both,,,,,
Clupea pallasii,Pacific herring,diet,"I, C",both,GoA,,REEM Groundfish Diet Database,,
Clupea pallasii,Pacific herring,guild,P,both,GoA,,REEM Groundfish Diet Database,,
Clupea pallasii,Pacific herring,trophicPosition,3.5,both,GoA,Aydin et al. 2007,,,
Clupea pallasii,Pacific herring,firstMaturityLength,21-22,u,British Columbia,,fishbase,,
Clupea pallasii,Pacific herring,firstMaturityLength,28-30,u,Japan Sea,,fishbase,,
Clupea pallasii,Pacific herring,firstMaturityLength,24-25,u,Okhotsk Sea,,fishbase,,
Clupea pallasii,Pacific herring,firstMaturityLength,12.0-14.0,u,White Sea,,fishbase,,
Clupea pallasii,Pacific herring,firstMaturityLength,15,m,Kamchatka (lake),,fishbase,FL,
Clupea pallasii,Pacific herring,firstMaturityLength,15,f,Kamchatka (lake),,fishbase,FL,
Clupea pallasii,Pacific herring,firstMaturityLength,17.9,u,Strait of Georgia,,fishbase,TL,
Clupea pallasii,Pacific herring,firstMaturityLength,19,m,Kamchatka (lake),,fishbase,FL,
Clupea pallasii,Pacific herring,firstMaturityLength,20,u,Kamchatka,,fishbase,FL,
Clupea pallasii,Pacific herring,firstMaturityLength,20,f,Kamchatka,,fishbase,FL,
Clupea pallasii,Pacific herring,firstMaturityLength,20.9,u,Washington,,fishbase,TL,
Clupea pallasii,Pacific herring,firstMaturityLength,20.9,f,NW Pacific,,fishbase,,
Clupea pallasii,Pacific herring,firstMaturityLength,22,f,Kamchatka (lake),,fishbase,FL,
Clupea pallasii,Pacific herring,firstMaturityLength,22,u,British Columbia,,fishbase,TL,
Clupea pallasii,Pacific herring,firstMaturityLength,25,u,SE Alaska,,fishbase,TL,
Clupea pallasii,Pacific herring,firstMaturityLength,28,m,Kamchatka,,fishbase,FL,
Clupea pallasii,Pacific herring,firstMaturityLength,29,f,Kamchatka,,fishbase,FL,
Clupea pallasii,Pacific herring,firstMaturityAge,2.0-6.0,u,W Bering,,fishbase,,
Clupea pallasii,Pacific herring,firstMaturityAge,2.0-4.0,u,Washington,,fishbase,,
Clupea pallasii,Pacific herring,lengthMaximum,46,both,,,fishbase,TL,
Clupea pallasii,Pacific herring,lengthMaximum,42,u,GoA,AFSC trawl survey,REEM,,
Clupea pallasii,Pacific herring,lengthMaximum,46,u,unknown,Lamb & Edgell 1986,REEM,,
Clupea pallasii,Pacific herring,ageMaximum,19,both,,,fishbase,,
Clupea pallasii,Pacific herring,ageMaximum,15,u,Norton Sound,Barton 1978,REEM,,
Clupea pallasii,Pacific herring,adultWaterColumnPosition,pelagic-neritic,both,,,fishbase,,
Clupea pallasii,Pacific herring,adultSlopeShelf,coastal,both,,,fishbase,,
Clupea pallasii,Pacific herring,migratoryStatus,n,both,,,fishbase,,
Clupea pallasii,Pacific herring,depthRange,0-150,both,N Pacific,Allen & Smith 1988,REEM,,
Clupea pallasii,Pacific herring,depthMax,150,both,N Pacific,Allen & Smith 1988,REEM,,
Clupea pallasii,Pacific herring,depthRange,0-50,both,E Bering,Goddard & Zimmermann 1993,REEM,,
Clupea pallasii,Pacific herring,depthMax,50,both,E Bering,Goddard & Zimmermann 1993,REEM,,
Clupea pallasii,Pacific herring,age50percentMaturity,3.0-4.0,m,E Bering,Rumyantsev and Darda 1970 ,REEM,,
Clupea pallasii,Pacific herring,length50percentMaturity,17.7,both,unknown,Hart 1973,REEM,,
Clupea pallasii,Pacific herring,Linfinity,23,u,West Coast,,fishbase,,
Clupea pallasii,Pacific herring,Linfinity,26.3,u,Washington,,fishbase,,
Clupea pallasii,Pacific herring,Linfinity,27,u,British Columbia,,fishbase,,
Clupea pallasii,Pacific herring,Linfinity,32,u,50_-60_ N,,fishbase,,
Clupea pallasii,Pacific herring,Linfinity,35.4,u,Ussuri Bay,,fishbase,,
Clupea pallasii,Pacific herring,Linfinity,35.6,u,50_-60_ N,,fishbase,,
Clupea pallasii,Pacific herring,Linfinity,38.5,u,Hokkaido,,fishbase,,
Clupea pallasii,Pacific herring,K,0.29,u,West Coast,,fishbase,,
Clupea pallasii,Pacific herring,K,0.36,u,Washington,,fishbase,,
Clupea pallasii,Pacific herring,K,0.48,u,British Columbia,,fishbase,,
Clupea pallasii,Pacific herring,K,0.35,u,50_-60_ N,,fishbase,,
Clupea pallasii,Pacific herring,K,0.52,u,Ussuri Bay,,fishbase,,
Clupea pallasii,Pacific herring,K,0.56,u,50_-60_ N,,fishbase,,
Clupea pallasii,Pacific herring,K,0.19,u,Hokkaido,,fishbase,,
Dasycottus setiger,spinyhead sculpin,diet,"I, B",both,GoA,,REEM Groundfish Diet Database,,
Dasycottus setiger,spinyhead sculpin,guild,B,both,GoA,,REEM Groundfish Diet Database,,
Dasycottus setiger,spinyhead sculpin,trophicPosition,3.9,both,GoA,Aydin et al. 2007,,,
Dasycottus setiger,spinyhead sculpin,lengthConversionSLtoTL,1.212,both,,photo in Podell-Eberhardt 2012 undergrad thesis,,,
Dasycottus setiger,spinyhead sculpin,lengthMaximum,45,both,,,fishbase,SL,
Dasycottus setiger,spinyhead sculpin,lengthMaximum,22,both,GoA,,2015 Stock Assessment,,
Dasycottus setiger,spinyhead sculpin,lengthMaximum,22,u,GoA,AFSC trawl survey,REEM,,
Dasycottus setiger,spinyhead sculpin,lengthMaximum,45,u,W Bering,Tokranov & Orlov 2001,REEM,,
Dasycottus setiger,spinyhead sculpin,ageMaximum,11,both,,,fishbase,,
Dasycottus setiger,spinyhead sculpin,ageMaximum,11,u,Kamchatka,Tokranov & Orlov 2001,REEM,,
Dasycottus setiger,spinyhead sculpin,adultWaterColumnPosition,demersal,both,,,fishbase,,
Dasycottus setiger,spinyhead sculpin,adultSubstrate,soft,both,,,fishbase,,
Dasycottus setiger,spinyhead sculpin,depthRange,50-450,both,N Pacific,Allen & Smith 1988,REEM,,
Dasycottus setiger,spinyhead sculpin,depthMax,450,both,N Pacific,Allen & Smith 1988,REEM,,
Dasycottus setiger,spinyhead sculpin,Linfinity,56.7,u,Kamchatka,,fishbase,SL,questionable
Dasycottus setiger,spinyhead sculpin,K,0.11,u,Kamchatka,,fishbase,,questionable
Sebastes group 1,,diet,"I, C",both,GoA,,REEM Groundfish Diet Database,,data are for Sebastes variabilis
Sebastes group 1,,guild,P,both,GoA,,REEM Groundfish Diet Database,,data are for Sebastes variabilis
Sebastes group 1,,trophicPosition,4,both,GoA,Aydin et al. 2007,,,data are for Sebastes variabilis
Sebastes group 1,,lengthConversionFLtoTL,1.021,both,,"mean of other Sebastes species in this spreadsheet, from Fishbase",,,data are for Sebastes variabilis
Sebastes group 1,,firstMaturityLength,36.5,f,GoA,Chilton 2010,fishbase,FL,data are for Sebastes variabilis
Sebastes group 1,,lengthMaximum,43.1,both,,,fishbase,SL,data are for Sebastes variabilis
Sebastes group 1,,lengthMaximum,63,u,GoA,AFSC trawl survey,REEM,,data are for Sebastes variabilis
Sebastes group 1,,ageMaximum,50,both,,,fishbase,,data are for Sebastes variabilis
Sebastes group 1,,ageMaximum,60,both,GoA,AFSC trawl survey,REEM,,data are for Sebastes variabilis
Sebastes group 1,,adultSlopeShelf,outer shelf,both,GoA,,2015 Stock Assessment,,data are for Sebastes variabilis
Sebastes group 1,,adultSubstrate,"hard, rocky, biogenic structure",both,GoA,,2015 Stock Assessment,,data are for Sebastes variabilis
