genus.species,common.name,trait,estimate,gender,region,reference,database,lengthType,comments
Albatrossia pectoralis,giant grenadier,diet,"I,C",both,GoA,,REEM Groundfish Diet Database,,
Albatrossia pectoralis,giant grenadier,guild,A,both,GoA,,REEM Groundfish Diet Database,,
Albatrossia pectoralis,giant grenadier,trophicPosition,4.1,both,GoA,Aydin et al. 2007,,,
Albatrossia pectoralis,giant grenadier,firstMaturityLength,70-95,u,Sea of Okhotsk,,fishbase,,
Albatrossia pectoralis,giant grenadier,firstMaturityLength,65-90,m,NW Pacific,,fishbase,,
Albatrossia pectoralis,giant grenadier,firstMaturityLength,70-100,u,NW Pacific,,fishbase,,
Albatrossia pectoralis,giant grenadier,firstMaturityAge,6.0-10.0,u,Sea of Okhotsk,,fishbase,,
Albatrossia pectoralis,giant grenadier,firstMaturityAge,5.0-9.0,m,NW Pacific,,fishbase,,
Albatrossia pectoralis,giant grenadier,firstMaturityAge,6.0-11.0,u,NW Pacific,,fishbase,,
Albatrossia pectoralis,giant grenadier,length50percentMaturity,50-56,both,E Bering,Novikov 1970,REEM,,
Albatrossia pectoralis,giant grenadier,age50percentMaturity,4.0-5.0,both,E Bering,Novikov 1970,REEM,,
Albatrossia pectoralis,giant grenadier,lengthMaximum,210,u,,,fishbase,TL,
Albatrossia pectoralis,giant grenadier,lengthMaximum,130,f,GoA,AFSC trawl survey,REEM,,
Albatrossia pectoralis,giant grenadier,lengthMaximum,150,u,N Pacific,"Cohen et al. 1990, Iwamoto & Stein 1974",REEM,,
Albatrossia pectoralis,giant grenadier,ageMaximum,56,both,,,fishbase,,
Albatrossia pectoralis,giant grenadier,ageMaximum,32,u,West Coast,Burton 1999,REEM,,
Albatrossia pectoralis,giant grenadier,adultWaterColumnPosition,bathydemersal,both,,,fishbase,,
Albatrossia pectoralis,giant grenadier,migratoryStatus,n,both,,,fishbase,,
Albatrossia pectoralis,giant grenadier,depthRange,300-1000,both,,AFSC trawl survey,REEM,,
Albatrossia pectoralis,giant grenadier,depthMax,1000,both,,AFSC trawl survey,REEM,,
Albatrossia pectoralis,giant grenadier,Linfinity,90,f,E North Pacific,Burton 1999,REEM,pre-anal fin length,
Albatrossia pectoralis,giant grenadier,Linfinity,45,f,North Pacific,Pautov 1975,REEM,pre-anal fin length,
Albatrossia pectoralis,giant grenadier,Linfinity,52,both,North Pacific,Kulikova 1957,REEM,pre-anal fin length,
Albatrossia pectoralis,giant grenadier,Linfinity,116.9,f,Kuril Islands,,fishbase,TL,
