AREA,STAT6,,,
1,456004,,,
1,456001,,,
1,455930,,,
1,466001,,,
1,466002,,,
1,465932,,,
1,46604,,,
1,476001,,,
2,475931,,,
2,475932,,,
2,475934,,,
3,485931,,,
3,485901,,,
4,495931,,,
4,495901,,,
4,495933,,,0
4,495902,,,
5,525836,,,
5,525832,,,
5,515832,,,
5,525837,,,
5,525833,,,
5,515904,,,
5,515831,,,
5,525834,,,
5,525804,,,
6,505800,,,
6,495800,,,
6,505832,,,
789,515730,,,
789,505730,,,
789,535704,,,
789,525702,,,
789,515700,,,
789,505700,,,
789,535632,,,
789,525630,,,
789,515630,,,
10,545603,,,
10,545631,,,
10,555630,,,
10,555600,,,
10,555532,,,
11,565603,,,
11,565602,,,
11,565531,,,
11,565533,,,
11,565501,,,
11,575532,,,
11,575502,,,
11,575531,,,
