"year","stat6","pounds"
1986,575400,7045
1986,575430,463744
1986,575603,50000
1986,585400,220576
1986,585430,170213
1986,585531,9567
1986,585601,11095
1986,595400,437520
1986,595431,9961
1986,595501,849
1986,605400,964213
1986,605431,1955
1986,605432,38721
1986,605501,1970
1986,605503,11031
1986,605504,32628
1986,605506,239100
1986,605507,1832
1986,605531,851
1986,605602,3492070
1986,615400,351630
1986,615431,10836
1986,615501,7193
1986,615505,4577
1986,625330,435937
1986,625401,492123
1986,625402,351687
1986,625501,7866
1986,625504,66120
1986,635330,424648
1986,635400,13764
1986,645331,443896
1986,645431,48918
1986,645502,9519727
1987,230,317705
1987,231,235808
1987,232,146174
1987,240,1301656
1987,241,313231
1987,242,266891
1987,250,4250221
1987,251,127092
1987,260,5956909
1987,261,1699768
1987,270,6177364
1987,271,268232
1987,272,34177
1987,280,5179676
1987,281,102644
1987,290,1269337
1987,291,336707
1987,300,1669226
1987,310,507862
1987,320,2030303
1987,330,639425
1987,340,262566
1987,350,961979
1987,23140,23
1987,23201,108
1987,23205,8
1987,23210,23
1987,24111,344
1987,24112,1411
1987,24114,35
1987,24115,90
1987,24116,134
1987,24130,40
1987,24530,481
1987,24770,151
1987,24935,115
1987,31550,120
1987,31553,57
1987,445900,602627
1987,445931,689034
1987,455900,1512952
1987,455930,15910
1987,456002,821
1987,456004,9882
1987,456031,31192
1987,456032,919
1987,465830,1778
1987,465901,745840
1987,465904,7975
1987,465932,44930
1987,465933,4385
1987,466001,9713
1987,466003,28413
1987,466004,915
1987,466031,1995
1987,466032,7136
1987,466033,12006
1987,466100,992
1987,475730,136
1987,475800,278962
1987,475830,431931
1987,475900,2706727
1987,475931,91669
1987,475932,15292
1987,475933,238986
1987,476002,13027
1987,476003,13545
1987,476004,12153
1987,476005,9119
1987,476006,4758
1987,476007,14596
1987,476008,910
1987,476031,6940
1987,476032,94936
1987,476033,63240
1987,476034,60877
1987,476035,8310
1987,476036,334
1987,485730,685030
1987,485800,2480491
1987,485831,3806333
1987,485832,287017
1987,485900,15087
1987,485901,168759
1987,485931,161776
1987,485932,49314
1987,485933,933
1987,485934,3565
1987,486001,920
1987,486005,346
1987,486031,5098
1987,486033,1506
1987,486034,1770
1987,495700,63241
1987,495730,1045104
1987,495800,535405
1987,495831,21124
1987,495832,77220
1987,495901,77874
1987,495902,761
1987,495931,82182
1987,495932,115549
1987,495933,1817
1987,495934,16331
1987,495935,141732
1987,495937,12387
1987,495938,20803
1987,495939,1811
1987,496001,1608
1987,496002,80785
1987,505700,689518
1987,505730,563914
1987,505800,1857175
1987,505831,28792
1987,505832,91485
1987,505901,172480
1987,505902,123775
1987,505903,221439
1987,505904,99124
1987,505905,21007
1987,505906,43304
1987,505907,85143
1987,505908,1415
1987,505909,4015
1987,505932,13268
1987,505933,2087
1987,505934,429
1987,515630,1176807
1987,515700,2793131
1987,515730,6210034
1987,515801,184304
1987,515802,7947156
1987,515831,18875
1987,515832,11414
1987,515833,109983
1987,515901,49750
1987,515902,12263
1987,515903,68297
1987,515904,24293
1987,515905,43178
1987,515906,18504
1987,515907,22115
1987,515908,33895
1987,515931,83
1987,515932,6958
1987,515933,43706
1987,515934,1080
1987,515935,560948
1987,515936,133191
1987,515937,9157
1987,515938,4594
1987,515939,18769
1987,516001,11990
1987,516002,5877
1987,525600,3214315
1987,525630,12841596
1987,525701,363237
1987,525702,34411019
1987,525703,2957854
1987,525731,2784833
1987,525732,390947
1987,525733,670779
1987,525801,2856
1987,525802,34733
1987,525803,103888
1987,525804,139823
1987,525805,2570846
1987,525806,1418810
1987,525807,2505716
1987,525831,12483
1987,525832,4527
1987,525833,4678
1987,525834,11112
1987,525836,9065
1987,525837,607
1987,525901,944
1987,525902,38034
1987,525931,96913
1987,525932,1888
1987,526002,1203
1987,526003,18089
1987,535500,12269
1987,535530,338485
1987,535601,7185
1987,535602,1653277
1987,535631,798035
1987,535632,8742514
1987,535634,1940
1987,535702,20849
1987,535703,175062
1987,535704,1441968
1987,535705,2505
1987,535706,140180
1987,535707,582
1987,535731,850939
1987,535732,840326
1987,535733,225582
1987,535734,289497
1987,535802,6276126
1987,535803,1785623
1987,535831,10280
1987,535832,43012
1987,535901,5371
1987,535905,5466
1987,535906,8667
1987,535931,14367
1987,535932,3928
1987,535933,2462
1987,545500,12406
1987,545530,1085970
1987,545601,1621
1987,545602,9940
1987,545631,26471
1987,545632,54927
1987,545702,55230
1987,545703,89606
1987,545732,3280547
1987,545733,196222
1987,545734,727259
1987,545801,26454
1987,545802,505449
1987,545803,547726
1987,545804,1396033
1987,555500,535686
1987,555531,6187
1987,555532,3314424
1987,555600,41713
1987,555630,50908
1987,555701,61730
1987,555731,6783
1987,555733,438
1987,565430,159567
1987,565500,983897
1987,565601,80677
1987,565633,2328
1987,565701,64871
1987,565702,3330
1987,575430,373419
1987,575500,4274
1987,575603,12405
1987,575631,5180
1987,575633,244
1987,585400,2433
1987,585430,232986
1987,585531,20375
1987,585601,73803
1987,585603,22040
1987,585631,1289800
1987,595400,547525
1987,595431,104216
1987,595501,25185
1987,595502,14664
1987,595503,4722
1987,595504,15140
1987,595531,88013
1987,595532,17597
1987,595533,197128
1987,605330,422
1987,605400,917289
1987,605431,69020
1987,605432,3005
1987,605501,210829
1987,605502,49794
1987,605503,180137
