"Species","Model","Mean","q.05","q.25","q.50","q.75","q.95"
"Atheresthes.stomias","pos","76.3942538744063","51.7566630656072","64.492655097579","74.9322342467028","86.6102874968334","105.907201850292"
"Atheresthes.stomias","binomial","396.083721825699","247.797953964681","320.117871024581","382.635800346404","457.064870453589","589.136277334036"
"Hippoglossus.stenolepis","pos","123.265074443533","83.2581565951472","103.262916479457","120.08243299848","139.756824394416","173.789094395848"
"Hippoglossus.stenolepis","binomial","681.308804598159","376.126376005676","510.084240853172","636.456584129556","804.014101264587","1135.3335515164"
"Gadus.chalcogrammus","pos","61.7122622600058","43.3002148375855","53.2532524460499","61.1210346789841","69.3616360379503","82.1120531015368"
"Gadus.chalcogrammus","binomial","779.033888291591","749.704826397186","758.298637285116","765.30713053064","774.285951986416","903.736675368811"
"Gadus.macrocephalus","pos","53.2081336088836","34.3819134999154","43.7416693461201","51.690072640863","60.9675044007399","77.0858593114988"
"Gadus.macrocephalus","binomial","275.418074631547","195.966582897253","235.992690047761","269.267391062214","308.212342223369","375.023510171826"
"Glyptocephalus.zachirus","pos","229.9654926982","154.369026872973","193.752011177932","225.94223653229","261.297601641412","319.062705347748"
"Glyptocephalus.zachirus","binomial","226.933872937187","132.345993862249","177.746419866012","217.816769397952","265.809983513839","352.072050648446"
"Hippoglossoides.elassodon","pos","141.356375756864","92.393411463523","118.535541817998","139.694501230257","161.851419017992","196.018873712095"
"Hippoglossoides.elassodon","binomial","564.153583635038","392.830662626325","479.162412985975","551.068000970989","634.827649846488","778.537615160995"
"Microstomus.pacificus","pos","247.898611326275","178.195349048999","213.078404648831","242.214814021443","276.685486706456","336.16800408874"
"Microstomus.pacificus","binomial","378.585332365487","273.199345929145","328.298002804343","372.697876745999","422.117862798133","503.379615229065"
"Anoplopoma.fimbria","pos","46.1604446121352","29.3869484614119","38.5829448881821","45.9594455494152","53.3080008816673","63.6232234279689"
"Anoplopoma.fimbria","binomial","198.975806533758","124.72338916346","161.779522338478","193.307583527359","229.646588526309","292.209530064896"
"Sebastes.alutus","pos","65.5751718204863","41.3779696200036","53.9238915958254","64.3331770794603","75.66241838239","93.9770613371903"
"Sebastes.alutus","binomial","674.819931712998","437.939755896129","551.610714334236","650.661171035436","772.060696897027","991.411002961359"
"Thaleichthys.pacificus","pos","136.1932116522","93.1114738458032","114.344869344458","132.379225780014","153.942069075769","191.815384705739"
"Thaleichthys.pacificus","binomial","590.821263174316","590.854423680741","590.928102164459","590.965681083267","590.999804248505","591.044962954673"
"Sebastolobus.alascanus","pos","484.725336291591","302.071826260814","389.128363816454","465.66671944113","559.569813913207","730.543608262714"
"Sebastolobus.alascanus","binomial","583.681413563782","379.679974146533","482.844168715596","569.337645021162","667.966346661869","835.601304684867"
"Hemilepidotus.jordani","pos","89.4562041174277","53.5437181336568","71.4691339547886","86.8464447731685","104.354930009567","134.180250955071"
"Hemilepidotus.jordani","binomial","551.532630049925","409.97070217713","483.932842715128","543.340786456359","610.004670173952","719.877334025779"
"Chionoecetes.bairdi","pos","125.938228708574","86.8790975361243","107.251000968086","123.807352829913","142.09871981661","172.09641113132"
"Chionoecetes.bairdi","binomial","1064.53941721089","965.18337252378","1015.3416712918","1057.64143828298","1108.2896968282","1186.55346504729"
"Raja.rhina","pos","765.752990360033","509.068043357086","633.256107334007","740.563061957289","871.289345958043","1105.37207477228"
"Raja.rhina","binomial","995.791991094039","653.970831130468","813.316355666158","955.423545604743","1135.95846153335","1470.16617429491"
"Sebastes.polyspinis","pos","77.5564994256877","47.6220342861226","62.5479085500383","75.3012325439438","89.9373921330913","115.072356100855"
"Sebastes.polyspinis","binomial","660.567182460247","462.518096396307","563.131899075197","646.347626500179","742.29686975364","905.442863435581"
"Squalus.acanthias","pos","142.978384376407","98.9059692145818","121.519655421733","140.112107411888","161.178431922006","196.543632560531"
"Squalus.acanthias","binomial","706.472549821167","499.879751923987","603.896349997966","690.452350996798","791.729134780248","965.608337767172"
"Lepidopsetta.sp.","pos","84.3944366761379","50.8756391061186","67.6093497697085","81.9264093242143","98.3192564821651","126.26301122792"
"Lepidopsetta.sp.","binomial","798.187980513287","552.262805162594","674.98646872903","778.066090573693","899.588568475452","1110.2783735701"
"Bathymaster.signatus","pos","2.26847216494417","1.13199315868521","1.67936265165128","2.17751808215017","2.74728163471213","3.71587163703374"
"Bathymaster.signatus","binomial","529.281144120118","309.031421972644","412.899180319206","505.613562414137","619.38972042488","828.506335922986"
"Mallotus.villosus","pos","0.264573261784647","0.166822986091174","0.218276515504001","0.260618699707523","0.305537311008757","0.3758828559248"
"Mallotus.villosus","binomial","637.408998246928","445.75114526115","542.436685302022","622.85801498193","716.480936393687","876.919511527077"
"Hyas.lyratus","pos","2.36143993669391","1.14476643336491","1.72264151027618","2.25556966072488","2.87308705479078","3.93971131788158"
"Hyas.lyratus","binomial","377.453633812704","219.607810034572","295.846629611009","362.907667540774","442.451402920589","584.149080581164"
"Malacocottus.zonurus","pos","2.62171840926617","1.53061594641196","2.10334050474797","2.58418251166374","3.08662864498285","3.84178799502829"
"Malacocottus.zonurus","binomial","448.631179335385","209.421715445422","309.316479611514","408.270624524323","543.084624961572","822.798071068202"
"Dasycottus.setiger","pos","43.1115217990416","20.9252237706781","31.4608137924766","41.1741535589291","52.4403742639323","71.9131542482678"
"Dasycottus.setiger","binomial","794.132885301337","552.714440238093","673.335042949172","774.492793455617","893.696312934622","1100.07648243098"
"Hemitripterus.bolini","pos","855.012577784222","387.000125080284","556.036253354961","744.120756490899","1029.86341421632","1690.55740250663"
"Hemitripterus.bolini","binomial","639.811922481894","471.895700734697","557.276987722747","627.491318855177","709.215108701782","847.868432733597"
"Lycodes.brevipes","pos","13.5136016638576","7.34707295809884","10.3521546348465","13.0178460380954","16.0823243052188","21.3663984632352"
"Lycodes.brevipes","binomial","660.937270526342","659.233103950428","660.233695570104","660.933401043569","661.63382198917","662.637798756534"
"Sebastes.babcocki","pos","203.181733084968","117.135756315336","158.491458345776","195.035847885628","238.586586628989","316.584182113309"
"Sebastes.babcocki","binomial","866.326227596709","494.300732104144","666.895289284752","823.099461256046","1017.99564146457","1382.52679197347"
"Lycodes.palearis","pos","242.413726237324","115.575299558941","172.916615673296","227.177576517491","294.394994720816","420.791890276817"
"Lycodes.palearis","binomial","508.185560021865","335.376091270068","417.656757887624","489.718632024382","579.146215747103","741.71712458874"
"Ophiodon.elongatus","pos","242.316042531968","151.504973752577","193.452709850285","231.224046555692","279.389753953391","369.70881051266"
"Ophiodon.elongatus","binomial","819.073786075991","539.741337214206","676.317899745409","793.443890204129","933.975366626064","1183.05215824521"
"Raja.binoculata","pos","11.4981433828724","4.72361979200845","7.81105289815274","10.8312932756735","14.3959148155799","20.5433406080318"
"Raja.binoculata","binomial","87.6801776377731","47.233357929687","66.0790230548323","83.2220239217301","104.236228678658","143.075047731506"
"Isopsetta.isolepis","pos","0.1383220582984","0.053405809970397","0.0846483106309914","0.118578217497339","0.169756580349868","0.289042954324532"
"Isopsetta.isolepis","binomial","101.822121502778","52.2731055795667","74.7995105673784","95.7608725960213","122.003016672833","171.746086862754"
"Pleurogrammus.monopterygius","pos","0.291878506059175","0.175285328158192","0.234769860525857","0.285143023942573","0.340578064656469","0.431428788045133"
"Pleurogrammus.monopterygius","binomial","795.254372200985","586.406859629092","693.35774725666","780.781283221547","881.547653943476","1051.31614639979"
"Bathyraja.interrupta","pos","837.202515743056","371.820656492972","589.722708867848","796.41596872901","1036.09044975018","1442.76018172949"
"Bathyraja.interrupta","binomial","980.958346634782","675.430210337597","827.637029394201","955.716278251245","1106.9098124445","1369.5357349017"
"Myoxocephalus.polyacanthocephalus","pos","96.453524871096","44.8597635386564","67.0226440952376","88.6388431323193","117.102802917684","174.286794500082"
"Myoxocephalus.polyacanthocephalus","binomial","577.457512219778","469.789262192472","528.593844977621","573.620176853018","621.855698075695","697.416027387864"
"Sebastes.borealis","pos","77.978514181118","41.060212632944","58.2216703920227","73.9274075682297","93.1147987439877","128.545326875943"
"Sebastes.borealis","binomial","203.552560287463","95.848114139352","143.124695251911","188.626462720348","247.077154741924","361.51213948591"
"Sebastes.zacentrus","pos","0.303167206153931","0.142079174641153","0.210292912301777","0.277276458032338","0.367167867603845","0.550937930294436"
"Sebastes.zacentrus","binomial","1147.52476785526","985.510950046814","1075.48449432233","1142.91363177255","1214.24520607577","1323.84869092573"
"Sebastes.variegatus","pos","30.0742463531722","19.7204710210636","24.7072048880819","29.0361250377993","34.327653935822","43.8499559312235"
"Sebastes.variegatus","binomial","1200.30750988882","1127.98019431083","1159.24113501909","1191.48119555709","1232.84074220384","1302.01514097938"
"Bathyraja.aleutica","pos","6.51743213802431","3.19633649458573","4.81542625988829","6.28761029608449","7.93499417095796","10.6246195207469"
"Bathyraja.aleutica","binomial","408.085062264923","215.295994941426","303.522200162055","384.958368273424","486.628022123805","678.50322739854"
"Parophrys.vetulus","pos","67.6516274188674","26.1317069940043","42.3122624142676","59.3650912844637","83.6080510724388","136.952252927443"
"Parophrys.vetulus","binomial","264.752437476447","134.221651790392","191.600005205104","246.156044512324","317.249411162842","457.497618351498"
"Zaprora.silenus","pos","1200.19954109274","606.245272541097","870.081417909323","1119.51577984858","1440.10473161259","2064.62799925192"
"Zaprora.silenus","binomial","1207.43781762457","735.417403574275","955.494987375744","1152.6048617446","1400.13153030833","1861.07601167208"
"Albatrossia.pectoralis","pos","1839.6422839971","886.52409040544","1269.7816435292","1657.5386943951","2210.44851480785","3397.66300239487"
"Albatrossia.pectoralis","binomial","1474.52159687485","1474.43118740591","1474.48779626036","1474.52538511176","1474.56020365632","1474.5977922097"
"Sebastes.brevispinis","pos","0.342521396895527","0.172309170565","0.249726563150041","0.322017933890422","0.411987396303645","0.581822992292457"
"Sebastes.brevispinis","binomial","953.988578601552","554.291611671653","738.512490115466","905.634524811916","1116.67344380995","1514.42786167988"
"Clupea.pallasi","pos","50.3986097833184","28.9788967925652","40.4601351566364","50.0303483552108","59.7063814720264","73.0174351416647"
"Clupea.pallasi","binomial","794.99712394197","580.634434356417","691.25429647484","781.183596907439","883.529221945911","1054.585979716"
"Lyopsetta.exilis","pos","10.9928799661685","5.36860906956623","8.10466921546826","10.5974832371764","13.392790443008","17.9695240695966"
"Lyopsetta.exilis","binomial","629.302606981098","604.639433771691","619.98675642375","629.832378898814","639.183123346409","651.913119796312"
"Oncorhynchus.keta","pos","28.7044910793148","12.6256149036754","19.3758579555829","26.0982016127567","35.0939544269443","53.5402138761358"
