"Species","Model","Coef.name","mean","sd","X0.025quant","X0.5quant","X0.975quant","mode","kld","log.center"
"Atheresthes.stomias","pos","cent.log.depth",0.613908670440221,0.0365153891036094,0.542274604334982,0.613888016531249,0.685591513161649,0.613849406032169,0,4.88070230935238
"Atheresthes.stomias","pos","cent.log.depth2",-1.47402904272914,0.0334706950576908,-1.53953660438879,-1.47410239510555,-1.40817500351923,-1.47424637926054,2.18706553959021e-21,4.88070230935238
"Atheresthes.stomias","pos","Y1984",3.45480304999421,0.203544800899055,3.04824889963461,3.45673474797254,3.85052080600989,3.46072362285292,3.81592943127524e-12,4.88070230935238
"Atheresthes.stomias","pos","Y1987",-0.0343495152234424,0.12924678263522,-0.288915609697161,-0.034254743658563,0.219407497189346,-0.0340541344329904,2.46738545330338e-13,4.88070230935238
"Atheresthes.stomias","pos","Y1990",0.271626677776243,0.16387751778496,-0.0532215997699529,0.27243963792001,0.591702173639488,0.274119924442166,9.59994241117254e-13,4.88070230935238
"Atheresthes.stomias","pos","Y1993",0.505426275413909,0.184439860242485,0.142067031460677,0.505484762133509,0.868002335164302,0.505601535733567,4.07953484984888e-15,4.88070230935238
"Atheresthes.stomias","pos","Y1996",0.461598418625997,0.200805192247884,0.0662782482673637,0.461543111182604,0.856697762276488,0.461422425033738,1.23900449613813e-14,4.88070230935238
"Atheresthes.stomias","pos","Y1999",0.401690167198315,0.214402403610272,-0.0182514323335854,0.400883455443295,0.825425091242221,0.399210240041995,6.50591249996138e-13,4.88070230935238
"Atheresthes.stomias","pos","Y2001",0.409414131037406,0.237226303131105,-0.0572044149862579,0.409208208537303,0.876546260509535,0.408790974163762,3.61270254132899e-14,4.88070230935238
"Atheresthes.stomias","pos","Y2003",0.747937887083773,0.23467587561655,0.285997778911999,0.747826297021885,1.20990143873425,0.747620606838705,3.83024904263858e-14,4.88070230935238
"Atheresthes.stomias","pos","Y2005",0.621213763748179,0.240506898449335,0.149076529016147,0.620634975039455,1.0958364564097,0.619438201526702,3.28449569538166e-13,4.88070230935238
"Atheresthes.stomias","pos","Y2007",0.543388389539037,0.246480913060106,0.0579850203052597,0.543320616222644,1.02852531288883,0.543192595683824,7.05849716628613e-14,4.88070230935238
"Atheresthes.stomias","pos","Y2009",0.573121635811865,0.251545819817852,0.079487741269596,0.572434562269652,1.06979728523227,0.57102465992497,4.26585170657033e-13,4.88070230935238
"Atheresthes.stomias","pos","Y2011",0.502809439009386,0.256462189376024,-0.000754057852979884,0.502202059325404,1.008973076753,0.50095860176869,3.42235078056226e-13,4.88070230935238
"Atheresthes.stomias","pos","Y2013",0.221318947444826,0.263554609797756,-0.295684349609431,0.220539824656933,0.741872571539723,0.218976070642019,3.90144749260422e-13,4.88070230935238
"Atheresthes.stomias","pos","Y2015",0.404694630669697,0.265629305184929,-0.115895828946306,0.403724094133875,0.929870479152294,0.401781546554096,5.93198105449184e-13,4.88070230935238
"Atheresthes.stomias","binomial","cent.log.depth",2.51296959555407,0.129462705412436,2.26338463463397,2.51161121359854,2.77048908045944,2.50901674981505,1.58976195225332e-13,4.88070230935238
"Atheresthes.stomias","binomial","cent.log.depth2",-2.64187452575991,0.107442652587648,-2.85590681033742,-2.64070732883023,-2.43437437508509,-2.6382561449903,7.69390378556478e-14,4.88070230935238
"Atheresthes.stomias","binomial","Y1984",5.20581475689533,1.58753539211339,1.97886966086911,5.19936844980298,8.45797107896266,5.18264525482718,6.42530143987505e-11,4.88070230935238
