"MASTER_ID","LONGITUDE","LATITUDE","LonUTMAlbers","LatUTMAlbers","Area"
35405,-156.61299,55.73912,-412.9198878,5670.490578,14
35406,-156.58115,55.73982,-410.9299658,5670.378636,14
35407,-156.5493,55.74051,-408.9400455,5670.26665,14
35408,-156.51745,55.7412,-406.950127,5670.154622,14
35409,-156.4856,55.74188,-404.9602103,5670.04255,14
35410,-156.45375,55.74254,-402.9702954,5669.930436,14
35411,-156.4219,55.7432,-400.9803823,5669.818278,14
35412,-156.39005,55.74385,-398.990471,5669.706078,14
35413,-156.35819,55.74449,-397.0005616,5669.593835,14
35414,-156.32634,55.74513,-395.010654,5669.481549,14
35415,-156.29448,55.74575,-393.0207482,5669.36922,14
35416,-156.26262,55.74637,-391.0308443,5669.256848,14
35417,-156.23076,55.74697,-389.0409423,5669.144434,14
35418,-156.1989,55.74757,-387.0510421,5669.031976,14
35419,-156.16704,55.74816,-385.0611438,5668.919476,14
35420,-156.13518,55.74874,-383.0712475,5668.806932,14
35421,-156.10332,55.74931,-381.081353,5668.694346,14
35422,-156.07146,55.74988,-379.0914604,5668.581717,14
35423,-156.03959,55.75043,-377.1015697,5668.469045,14
35424,-156.00773,55.75098,-375.111681,5668.35633,14
35615,-158.96767,55.68127,-560.066861,5680.659011,15
35616,-158.93594,55.68261,-558.0768008,5680.550247,15
35617,-158.9042,55.68394,-556.0867417,5680.44144,15
35618,-158.87246,55.68526,-554.0966839,5680.33259,15
35685,-156.74168,55.75416,-420.7659168,5672.941642,14
35686,-156.70982,55.7549,-418.7759581,5672.829869,14
35687,-156.67797,55.75562,-416.7860011,5672.718052,14
35688,-156.64611,55.75634,-414.7960459,5672.606193,14
35689,-156.61425,55.75705,-412.8060924,5672.494291,14
35690,-156.58239,55.75775,-410.8161407,5672.382346,14
35691,-156.55052,55.75845,-408.8261908,5672.270358,14
35692,-156.51866,55.75913,-406.8362426,5672.158327,14
35693,-156.48679,55.75981,-404.8462963,5672.046253,14
35694,-156.45493,55.76048,-402.8563517,5671.934137,14
35695,-156.42306,55.76114,-400.866409,5671.821977,14
35696,-156.39119,55.76179,-398.876468,5671.709775,14
35697,-156.35932,55.76243,-396.8865289,5671.597529,14
35698,-156.32745,55.76306,-394.8965917,5671.485241,14
35699,-156.29558,55.76369,-392.9066562,5671.37291,14
35700,-156.26371,55.7643,-390.9167227,5671.260536,14
35701,-156.23184,55.76491,-388.9267909,5671.148119,14
35702,-156.19996,55.76551,-386.9368611,5671.035659,14
