"LonUTMAlbers","LatUTMAlbers","log.BottomDepth","cent.log.depth","cent.log.depth2","MASTER_ID"
-1308632.436,5467091.004,6.590301048,1.70658198715464,2.91242207888067,"X.1"
-1309855.97,5467989.225,6.313548046,1.42982898515464,2.04441092678834,"X.2"
-1314035.763,5471395.242,5.855071922,0.971352861154638,0.943526380873301,"X.3"
-1311276.992,5474751.068,5.877735782,0.994016721154638,0.988069241935018,"X.4"
-1318358.878,5479671.164,5.438079309,0.554360248154638,0.307315284734072,"X.5"
-1313442.042,5479140.428,5.529429088,0.645710027154638,0.416941439168043,"X.6"
-1318771.956,5481787.944,5.159055299,0.275336238154638,0.0758100440411478,"X.7"
-1315917.745,5482053.654,5.081404365,0.197685304154638,0.0390794794787118,"X.8"
-1312425.498,5481649.755,5.159055299,0.275336238154638,0.0758100440411478,"X.9"
-1317965.015,5483332.351,4.997212274,0.113493213154638,0.0128807094321641,"X.10"
-1314789.4,5494816.534,4.430816799,-0.452902261845362,0.205120458784645,"X.11"
-1268089.391,5490063.121,4.644390899,-0.239328161845362,0.0572779690522796,"X.12"
-1240465.843,5501139.491,4.430816799,-0.452902261845362,0.205120458784645,"X.13"
-1199287.805,5494949.749,4.905274778,0.0215557171546381,0.00046464894205076,"X.14"
-1164016.641,5489674.525,5.375278408,0.491559347154638,0.241630591775094,"X.15"
-1166037.407,5491621.789,5.375278408,0.491559347154638,0.241630591775094,"X.16"
-1166547.582,5492984.893,5.135798437,0.252079376154638,0.0635440118825116,"X.17"
-1168140.881,5496513.923,4.744932128,-0.138786932845361,0.0192618127286229,"X.18"
-1143026.39,5491370.934,5.525452939,0.641733878154638,0.411822370371392,"X.19"
-1207929.367,5509951.202,4.532599493,-0.351119567845362,0.123284950923913,"X.20"
-1184605.226,5508890.635,4.718498871,-0.165220189845361,0.0272977111325372,"X.21"
-1097223.208,5491620.364,6.584791392,1.70107233115464,2.89364707581987,"X.22"
-1094650.666,5495202.969,6.272877007,1.38915794615464,1.92975979936457,"X.23"
-1093928.487,5495676.466,6.308098442,1.42437938115464,2.02885662145847,"X.24"
-1093932.126,5499775.254,6.01615716,1.13243809915464,1.28241604841697,"X.25"
-1185830.729,5526018.829,3.688879454,-1.19483960684536,1.42764168608638,"X.26"
-1094705.847,5503334.745,5.802118375,0.918399314154638,0.84345730023971,"X.27"
-1094048.04,5506620.569,5.455321115,0.571602054154638,0.326728908313802,"X.28"
-1093999.948,5508447.326,5.375278408,0.491559347154638,0.241630591775094,"X.29"
-1122878.667,5516649.645,4.615120517,-0.268598543845362,0.0721451777558486,"X.30"
-1095205.813,5511483.129,5.147494477,0.263775416154639,0.0695774701675528,"X.31"
-1092709.376,5511847.017,5.123963979,0.240244918154638,0.0577176206991288,"X.32"
-1052413.779,5502424.342,6.56526497,1.68154590915464,2.8275966445947,"X.33"
-1091799.064,5515511.353,4.700480366,-0.183238694845362,0.0335764192886317,"X.34"
-1042487.517,5509265.551,6.396929655,1.51321059415464,2.28980630226183,"X.35"
-1045097.873,5511787.914,6.042632834,1.15891377315464,1.34308113360752,"X.36"
-1100132.372,5525554.551,4.382026635,-0.501692425845362,0.251695290150604,"X.37"
-1040350.289,5511517.138,6.300785795,1.41706673415464,2.00807812904769,"X.38"
-1042826.53,5514121.688,5.910796644,1.02707758315464,1.05488836181877,"X.39"
-1041627.166,5517355.797,5.560681631,0.676962570154638,0.458278321390373,"X.40"
-1039667.388,5518273.099,5.609471795,0.725752734154638,0.526717031132933,"X.41"
-1043129.748,5520613.139,5.187385806,0.303666745154638,0.092213492112812,"X.42"
-1068628.398,5529006.253,4.812184355,-0.0715347058453615,0.00511721414038239,"X.43"
-1042802.153,5523746.791,4.8978398,0.0141207391546381,0.000199395274273329,"X.44"
-1052014.598,5527410.217,4.624972813,-0.258746247845361,0.0669496207740532,"X.45"
-1039056.443,5526308.792,4.700480366,-0.183238694845362,0.0335764192886317,"X.46"
