"MASTER_ID","LONGITUDE","LATITUDE","LonUTMAlbers","LatUTMAlbers","WATER","SRTM_M","NGDC24_M","Area","depth"
103592,-144.06788,59.63975,333.066997403277,6101.3110170379,1,-279,-328,1,328
99674,-149.42399,59.75452,32.273227892058,6099.9528437137,1,-255,-251,1,251
103201,-144.24912,59.63527,322.956609725735,6099.95012579428,1,-258,-352,1,352
99675,-149.38836,59.75328,34.2705228747012,6099.83185381239,1,-261,-257,1,257
103202,-144.21392,59.63265,324.953244878473,6099.82332684853,1,-322,-394,1,394
103203,-144.17873,59.63002,326.949871415752,6099.69648714006,1,-293,-419,1,419
103204,-144.14354,59.62738,328.946489319691,6099.56960665799,1,-315,-444,1,444
103205,-144.10836,59.62473,330.943098572462,6099.44268539146,1,-436,-405,1,405
99680,-149.21027,59.74696,44.2569159057474,6099.22630756469,1,-269,-259,1,259
103207,-144.03801,59.6194,334.936291053459,6099.18872046129,1,-324,-424,1,424
102812,-144.3247,59.62279,318.836306333851,6098.20829230144,1,-300,-292,1,292
102813,-144.28951,59.62019,320.832919265734,6098.08157138801,1,-336,-359,1,359
102814,-144.25432,59.61758,322.829523641458,6097.95480971626,1,-371,-407,1,407
99315,-149.39084,59.73544,34.1493649229774,6097.83646262673,1,-259,-258,1,258
102815,-144.21914,59.61496,324.826119443096,6097.82800727547,1,-464,-459,1,459
102816,-144.18397,59.61233,326.822706652791,6097.70116405485,1,-467,-496,1,496
102420,-144.36504,59.60768,316.712732114547,6096.33962665075,1,-294,-277,1,277
102421,-144.32986,59.60509,318.709314222179,6096.21294306153,1,-416,-388,1,388
102422,-144.29469,59.60249,320.705887814848,6096.08621870753,1,-426,-494,1,494
102423,-144.25952,59.59988,322.702452874652,6095.95945357811,1,-515,-484,1,484
98611,-149.64483,59.7082,19.9267568522337,6094.69165858885,1,-264,-296,1,296
98612,-149.60924,59.70702,21.9239599611148,6094.57090619147,1,-283,-297,1,297
102032,-144.37018,59.58998,316.585794474171,6094.34424077142,1,-411,-370,1,370
97917,-150.25416,59.69102,-14.2667729705847,6092.74729938953,10,-216,-261,1,261
98273,-149.6116,59.68917,21.8030672760557,6092.57539291302,1,-284,-258,1,258
101651,-144.41046,59.57486,314.462359900699,6092.47546447467,1,-250,-296,1,296
98274,-149.57603,59.68799,23.8002239504919,6092.45460034475,10,-280,-273,1,273
101652,-144.37531,59.57228,316.458871910192,6092.34881488706,1,-438,-434,1,434
101279,-144.45071,59.55973,312.339010380645,6090.60661412856,1,-156,-271,1,271
101280,-144.41557,59.55716,314.335491590525,6090.4800019894,1,-311,-334,1,334
97930,-149.5784,59.67014,23.6792958565469,6090.45904527547,1,-290,-300,1,300
101281,-144.38044,59.55459,316.331964390236,6090.35334905532,1,-471,-429,1,429
97931,-149.54286,59.66895,25.6764061591996,6090.33821249603,1,-283,-300,1,300
97932,-149.50732,59.66774,27.67351117976,6090.21733985085,1,-252,-278,1,278
100908,-144.45579,59.54203,312.212196198026,6088.61111504341,1,-181,-332,1,332
100909,-144.42067,59.53946,314.2086382337,6088.48449959452,1,-402,-421,1,421
97584,-149.50973,59.6499,27.5525067763849,6088.22174266222,1,-276,-272,1,272
97585,-149.47421,59.64868,29.54956547567,6088.10082973977,1,-266,-267,1,267
97586,-149.4387,59.64746,31.5466188579367,6087.97987692087,1,-231,-263,1,263
100536,-144.53108,59.52943,308.092566015718,6086.86869111927,1,-233,-262,1,262
100537,-144.49597,59.52688,310.088985611604,6086.74215400699,1,-300,-416,1,416
100538,-144.46087,59.52433,312.085396878328,6086.6155760865,1,-591,-493,1,493
97229,-149.51213,59.63205,27.4315082435396,6086.22610418211,1,-242,-255,1,255
97230,-149.47663,59.63084,29.4285259909,6086.10519086054,1,-269,-275,1,275
100170,-144.57122,59.51426,305.969470928041,6084.99961837243,1,-370,-348,1,348
100171,-144.53612,59.51172,307.965859710056,6084.87311883839,1,-423,-395,1,395
99801,-144.92731,59.52138,285.878870486054,6084.26679330602,1,-245,-253,1,253
99802,-144.89218,59.51894,287.875301883377,6084.14069833707,1,-249,-254,1,254
96875,-149.47906,59.613,29.3074924272993,6084.10951076057,1,-248,-262,1,262
99803,-144.85705,59.51649,289.871725193661,6084.01456263634,1,-268,-280,1,280
96876,-149.44358,59.61177,31.304463991284,6083.98855710855,1,-258,-258,1,258
99804,-144.82193,59.51403,291.868140398728,6083.88838619399,1,-281,-276,1,276
99805,-144.78682,59.51156,293.864547480456,6083.7621690001,1,-258,-256,1,256
99806,-144.75171,59.50908,295.860946420771,6083.63591104475,1,-217,-342,1,342
99807,-144.7166,59.5066,297.857337201647,6083.50961231797,1,-329,-381,1,381
99808,-144.6815,59.5041,299.853719805113,6083.38327280975,1,-344,-414,1,414
99065,-145.78072,59.54164,237.711553698331,6083.28973615959,1,-516,-460,1,460
99066,-145.74551,59.53943,239.708094216115,6083.16461073019,1,-476,-408,1,408
99067,-145.7103,59.53721,241.704627137298,6083.03944475954,1,-384,-385,1,385
99068,-145.6751,59.53497,243.7011524427,6082.91423823864,1,-286,-401,1,401
99069,-145.6399,59.53273,245.697670113184,6082.78899115845,1,-404,-384,1,384
99439,-145.00238,59.50851,281.759815359657,6082.52324929634,1,-241,-255,1,255
99440,-144.96726,59.50609,283.756223605399,6082.39723278618,1,-273,-273,1,273
99441,-144.93214,59.50366,285.752623822053,6082.27117554649,1,-274,-281,1,281
99442,-144.89703,59.50122,287.749015991421,6082.1450775675,1,-288,-309,1,309
99443,-144.86192,59.49877,289.745400095346,6082.01893883943,1,-354,-331,1,331
96523,-149.44601,59.59393,31.1833955222321,6081.99283544589,1,-271,-269,1,269
99444,-144.82682,59.49631,291.741776115728,6081.89275935245,1,-365,-400,1,400
99445,-144.79172,59.49385,293.738144034515,6081.76653909669,1,-420,-440,1,440
99446,-144.75663,59.49137,295.734503833707,6081.64027806229,1,-581,-463,1,463
98719,-145.82029,59.52609,235.589771389135,6081.41919219309,1,-456,-445,1,445
98725,-145.60918,59.51274,247.568708472079,6080.6680591981,1,-288,-295,1,295
99087,-145.00717,59.49079,281.633661075599,6080.52759757998,1,-254,-251,1,251
99088,-144.97206,59.48837,283.630030109283,6080.40157811289,1,-304,-311,1,311
99089,-144.93696,59.48594,285.626391135273,6080.27551789891,1,-354,-384,1,384
99090,-144.90187,59.4835,287.62274413543,6080.14941692836,1,-379,-407,1,407
99091,-144.86678,59.48106,289.619089091683,6080.02327519145,1,-469,-470,1,470
98380,-145.82465,59.50834,235.464549608842,6079.42352312226,1,-545,-463,1,463
98741,-145.04704,59.47547,279.51118277253,6078.65788764809,1,-197,-339,1,339
98387,-145.57849,59.49274,249.439673001965,6078.54704129373,1,-350,-472,1,472
98742,-145.01195,59.47307,281.507520621192,6078.53190599682,1,-493,-406,1,406
98743,-144.97686,59.47065,283.503850501582,6078.40588359105,1,-520,-487,1,487
98394,-145.33256,59.47667,263.41442145611,6077.66856895299,1,-275,-283,1,283
98035,-145.86417,59.49278,233.342903329817,6077.55286576023,1,-354,-284,1,284
98396,-145.26234,59.472,267.407136964016,6077.41721081268,1,-424,-411,1,411
98397,-145.22724,59.46965,269.403482997936,6077.29147068899,1,-292,-408,1,408
98398,-145.19214,59.46729,271.399821193993,6077.16568985046,1,-198,-284,1,284
98400,-145.12196,59.46254,275.39247399926,6076.91400599117,1,-303,-301,1,301
98044,-145.54784,59.47273,251.310563894955,6076.42593749182,1,-392,-351,1,351
98048,-145.40737,59.46357,259.295992708573,6075.92402398516,1,-490,-361,1,361
97687,-145.86849,59.47503,233.21774579864,6075.5571189137,1,-349,-330,1,330
98055,-145.16174,59.44719,273.270195004375,6075.04410858154,1,-364,-331,1,331
98056,-145.12667,59.44481,275.266478349614,6074.91824345167,1,-531,-488,1,488
97696,-145.48213,59.45043,255.177703133685,6074.17928715996,1,-258,-339,1,339
97697,-145.44703,59.44814,257.174017256611,6074.05378579555,1,-331,-310,1,310
97331,-145.90795,59.45945,231.096235078529,6073.6863481791,1,-256,-260,1,260
97332,-145.87282,59.45728,233.092600560531,6073.56133202051,1,-417,-367,1,367
97341,-145.45157,59.4304,257.048400472992,6072.05796837655,1,-553,-460,1,460
96975,-145.94737,59.44387,228.974807945498,6071.81550166419,1,-325,-304,1,304
96976,-145.91225,59.4417,230.971141469189,6071.69052370926,1,-369,-418,1,418
96977,-145.87714,59.43952,232.967467588778,6071.56550513941,1,-495,-476,1,476
96621,-145.98675,59.42827,226.85346427007,6069.94457933408,1,-342,-332,1,332
96622,-145.95165,59.42611,228.84976583813,6069.81963962626,1,-429,-470,1,470
93516,-150.56108,59.48444,-31.6820621333255,6069.75661535207,10,-270,-260,1,260
96275,-145.99101,59.41051,226.728473538045,6067.94867973683,1,-405,-361,1,361
93129,-150.56291,59.46658,-31.8018255999732,6067.76052698284,10,-298,-265,1,265
95933,-145.99526,59.39276,226.603494814438,6065.95274027962,1,-428,-370,1,370
92741,-150.5294,59.44779,-29.9249131023894,6065.64464350791,1,-288,-319,1,319
95562,-145.99951,59.375,226.478528073162,6063.95676102093,1,-405,-308,1,308
92354,-150.53125,59.42992,-30.0447092161003,6063.64847405137,1,-277,-313,1,313
94787,-146.11306,59.34588,220.240269718323,6060.33929293698,1,-260,-265,1,265
94788,-146.07803,59.34376,222.236397179597,6060.21446375994,1,-258,-261,1,261
94789,-146.043,59.34162,224.232517424247,6060.08959389452,1,-323,-308,1,308
94790,-146.00798,59.33948,226.228630433647,6059.96468333248,1,-394,-352,1,352
91627,-150.53494,59.3942,-30.2842896984723,6059.65601342189,1,-257,-272,1,272
94397,-146.25732,59.33652,212.131030540595,6058.8421199703,1,-277,-297,1,297
