"MASTER_ID","LONGITUDE","LATITUDE","LonUTMAlbers","LatUTMAlbers","WATER","SRTM_M","NGDC24_M","Area"
100497,-145.90435,59.62141,230.225900025762,6091.77191443813,1,-129,-132,"1"
100116,-146.47385,59.63723,198.152679204298,6091.7702540144,1,-91,-95,"1"
100883,-145.33542,59.60314,262.29847231683,6091.76326721635,1,-118,-120,"1"
100498,-145.86904,59.61923,232.222630067903,6091.64696114432,1,-132,-134,"1"
100117,-146.43849,59.6352,200.149487865618,6091.64594418634,1,-91,-94,"1"
100884,-145.30018,59.60081,264.295118125185,6091.637668772,1,-122,-117,"1"
100499,-145.83374,59.61704,234.219352512605,6091.52196741931,1,-133,-137,"1"
100118,-146.40314,59.63317,202.146289268847,6091.52159404728,1,-88,-92,"1"
100885,-145.26494,59.59847,266.291756005976,6091.51202976589,1,-112,-118,"1"
100119,-146.36779,59.63112,204.143083393665,6091.39720358884,1,-90,-93,"1"
100500,-145.79845,59.61484,236.216067340179,6091.39693325408,1,-145,-145,"1"
100886,-145.2297,59.59612,268.288385940212,6091.38635018845,1,-125,-122,"1"
100120,-146.33245,59.62906,206.139870219801,6091.27277280254,1,-94,-98,"1"
100501,-145.76316,59.61264,238.212774531002,6091.27185863956,1,-145,-150,"1"
99745,-146.90226,59.64304,174.066388213777,6091.26339335689,1,-123,-128,"1"
100887,-145.19447,59.59376,270.285007908947,6091.26063002998,1,-126,-124,"1"
100121,-146.29711,59.627,208.136649727022,6091.14830167994,1,-91,-95,"1"
100502,-145.72787,59.61042,240.209474065478,6091.14674356665,1,-141,-147,"1"
99746,-146.86687,59.64112,176.063241994475,6091.13956463373,1,-119,-119,"1"
100888,-145.15924,59.59139,272.281621893282,6091.13486928081,1,-128,-129,"1"
100122,-146.26177,59.62492,210.133421895147,6091.02379021249,1,-94,-96,"1"
100503,-145.69259,59.60819,242.206165924073,6091.02158802622,1,-139,-144,"1"
99747,-146.83148,59.6392,178.060088781472,6091.01569567777,1,-105,-110,"1"
100123,-146.22644,59.62284,212.130186704035,6090.89923839164,1,-97,-101,"1"
100504,-145.65732,59.60596,244.202850087291,6090.89639200908,1,-131,-130,"1"
99748,-146.7961,59.63727,180.056928554025,6090.89178648112,1,-99,-103,"1"
100124,-146.19112,59.62075,214.126944133584,6090.7746462088,1,-100,-101,"1"
100505,-145.62204,59.60371,246.199526535689,6090.77115550604,1,-126,-129,"1"
99749,-146.76073,59.63533,182.053761291441,6090.76783703583,1,-97,-102,"1"
100125,-146.1558,59.61864,216.123694163745,6090.65001365533,1,-102,-106,"1"
100506,-145.58678,59.60145,248.196195249866,6090.64587850787,1,-123,-128,"1"
99750,-146.72536,59.63338,184.050586973061,6090.64384733388,1,-100,-104,"1"
100126,-146.12048,59.61653,218.120436774508,6090.52534072257,1,-99,-105,"1"
100507,-145.55152,59.59919,250.192856210466,6090.52056100527,1,-127,-130,"1"
99751,-146.68999,59.63142,186.047405578264,6090.51981736726,1,-103,-104,"1"
100127,-146.08517,59.61441,220.117171945911,6090.40062740183,1,-109,-114,"1"
99752,-146.65463,59.62945,188.044217086476,6090.3957471279,1,-101,-105,"1"
100508,-145.51626,59.59692,252.189509398194,6090.39520298895,1,-119,-126,"1"
100128,-146.04986,59.61228,222.11389965803,6090.27587368436,1,-119,-123,"1"
99753,-146.61927,59.62747,190.04102147717,6090.27163660769,1,-96,-103,"1"
